"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","2/109","130/5433",0.0153846153846154,0.766831333803811,-0.384995060206823,0.741018083820244,0.96047757638386,0.96047757638386,"894/25942",2
"Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","1/109","67/5433",0.0149253731343284,0.743940846227578,-0.301735548757644,0.744941179611667,0.96047757638386,0.96047757638386,"5297",1
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","3/109","192/5433",0.015625,0.778813073394495,-0.446454387009977,0.747566924499818,0.96047757638386,0.96047757638386,"7430/6711/6709",3
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","1/109","68/5433",0.0147058823529412,0.733000539665407,-0.316996219586472,0.750122210439533,0.96047757638386,0.96047757638386,"894",1
"Organismal Systems","Aging","hsa04211","Longevity regulating pathway","1/109","69/5433",0.0144927536231884,0.722377343438373,-0.332054348968922,0.755198944654275,0.96047757638386,0.96047757638386,"57521",1
"Metabolism","Global and overview maps","hsa01232","Nucleotide metabolism","1/109","70/5433",0.0142857142857143,0.712057667103539,-0.346916332652277,0.760173462743888,0.96047757638386,0.96047757638386,"6240",1
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","1/109","70/5433",0.0142857142857143,0.712057667103539,-0.346916332652277,0.760173462743888,0.96047757638386,0.96047757638386,"25942",1
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","1/109","70/5433",0.0142857142857143,0.712057667103539,-0.346916332652277,0.760173462743888,0.96047757638386,0.96047757638386,"3326",1
"Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","3/109","201/5433",0.0149253731343284,0.743940846227578,-0.529271578297415,0.775070887842558,0.96047757638386,0.96047757638386,"9550/30849/1778",3
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","2/109","140/5433",0.0142857142857143,0.712057667103539,-0.493847313999677,0.777463325593965,0.96047757638386,0.96047757638386,"55770/22821",2
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","1/109","74/5433",0.0135135135135135,0.67356806347632,-0.404520680339363,0.779089561178231,0.96047757638386,0.96047757638386,"4772",1
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","3/109","205/5433",0.0146341463414634,0.729424927276796,-0.565029380753176,0.7864944889873,0.96047757638386,0.96047757638386,"57521/23048/30849",3
