"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","5/174","221/5433",0.0226244343891403,0.706428459978156,-0.810421219503948,0.843940065368697,0.99750420767229,0.928670583984963,"51510/9727/3560/5371/4218",5
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","2/174","102/5433",0.0196078431372549,0.612237998647735,-0.719057983060363,0.844495430857021,0.99750420767229,0.928670583984963,"5608/1514",2
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","2/174","104/5433",0.0192307692307692,0.600464190981432,-0.748259843218961,0.852226421676369,0.99750420767229,0.928670583984963,"8743/1454",2
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","1/174","60/5433",0.0166666666666667,0.520402298850575,-0.6794339078844,0.859689026577174,0.99750420767229,0.928670583984963,"773",1
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","1/174","61/5433",0.0163934426229508,0.511871113623516,-0.697323568356665,0.864232877196115,0.99750420767229,0.928670583984963,"5608",1
"Human Diseases","Cancer: specific types","hsa05214","Glioma","1/174","61/5433",0.0163934426229508,0.511871113623516,-0.697323568356665,0.864232877196115,0.99750420767229,0.928670583984963,"578",1
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","1/174","61/5433",0.0163934426229508,0.511871113623516,-0.697323568356665,0.864232877196115,0.99750420767229,0.928670583984963,"1514",1
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","1/174","62/5433",0.0161290322580645,0.503615127919911,-0.714973137891712,0.86863039755499,0.99750420767229,0.928670583984963,"578",1
"Organismal Systems","Endocrine system","hsa04916","Melanogenesis","1/174","62/5433",0.0161290322580645,0.503615127919911,-0.714973137891712,0.86863039755499,0.99750420767229,0.928670583984963,"3815",1
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","1/174","62/5433",0.0161290322580645,0.503615127919911,-0.714973137891712,0.86863039755499,0.99750420767229,0.928670583984963,"578",1
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","1/174","63/5433",0.0158730158730159,0.495621237000547,-0.732390737974231,0.872886273709418,0.99750420767229,0.928670583984963,"2621",1
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","1/174","64/5433",0.015625,0.487877155172414,-0.749584079070365,0.877005042494253,0.99750420767229,0.928670583984963,"773",1
"Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","2/174","112/5433",0.0178571428571429,0.557573891625616,-0.860510251979955,0.879782542026821,0.99750420767229,0.928670583984963,"32/8651",2
"Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","1/174","66/5433",0.0151515151515152,0.473092998955068,-0.783326932155373,0.884848687390867,0.99750420767229,0.928670583984963,"3417",1
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","1/174","66/5433",0.0151515151515152,0.473092998955068,-0.783326932155373,0.884848687390867,0.99750420767229,0.928670583984963,"5608",1
"Genetic Information Processing","Folding, sorting and degradation","hsa03018","RNA degradation","1/174","70/5433",0.0142857142857143,0.446059113300493,-0.848421103890271,0.899074821345091,0.99750420767229,0.928670583984963,"219988",1
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","1/174","70/5433",0.0142857142857143,0.446059113300493,-0.848421103890271,0.899074821345091,0.99750420767229,0.928670583984963,"6196",1
"Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","1/174","71/5433",0.0140845070422535,0.43977659057795,-0.864231200451633,0.902349291060913,0.99750420767229,0.928670583984963,"32",1
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","1/174","71/5433",0.0140845070422535,0.43977659057795,-0.864231200451633,0.902349291060913,0.99750420767229,0.928670583984963,"578",1
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","2/174","120/5433",0.0166666666666667,0.520402298850575,-0.966274963943179,0.902548169965002,0.99750420767229,0.928670583984963,"952/773",2
"Environmental Information Processing","Signal transduction","hsa04150","mTOR signaling pathway","2/174","123/5433",0.016260162601626,0.507709559854219,-1.00445299207039,0.910002817326395,0.99750420767229,0.928670583984963,"1975/6196",2
