"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042325","regulation of phosphorylation","15/296","313/11123",0.0479233226837061,1.800848372334,2.37625394866621,0.0203170000581427,0.189086625541124,0.167141349162532,"CEACAM1/DNAJA1/RIPK2/FAM20A/TRIM6/RIPK1/PARP9/HERC5/WARS1/NLRC5/KIT/ADAR/STAT2/PARP14/GAS6",15
"GO:0022409","positive regulation of cell-cell adhesion","13/296","259/11123",0.0501930501930502,1.88613951789627,2.38583464469188,0.0212370146524345,0.197089121816928,0.174215080688378,"RUNX3/SMARCD3/RIPK2/LILRB1/GATA3/MDK/ZAP70/CD274/BTN2A2/SOX13/B2M/SOCS1/PDCD1LG2",13
"GO:0061951","establishment of protein localization to plasma membrane","5/296","60/11123",0.0833333333333333,3.13147522522523,2.73717579332019,0.0214004421525884,0.197486897160225,0.174566690472263,"VAMP3/RAB11FIP3/GORASP1/RAB8A/VAMP5",5
"GO:0140895","cell surface toll-like receptor signaling pathway","5/296","60/11123",0.0833333333333333,3.13147522522523,2.73717579332019,0.0214004421525884,0.197486897160225,0.174566690472263,"IFI35/OAS1/RIPK2/TRIM32/NMI",5
"GO:0002366","leukocyte activation involved in immune response","13/296","260/11123",0.05,1.87888513513513,2.37097587994018,0.0218401332911262,0.19998445387598,0.176774382306028,"IFI35/CEACAM1/CD40/RIPK2/LILRB1/GATA3/MDK/NMI/KIT/CLCF1/BCR/IL27/TREX1",13
"GO:0031341","regulation of cell killing","6/296","82/11123",0.0731707317073171,2.74958800263678,2.62918863146641,0.0218609600412439,0.19998445387598,0.176774382306028,"CEACAM1/LILRB1/MR1/B2M/TIGIT/TAP2",6
"GO:0002716","negative regulation of natural killer cell mediated immunity","3/296","23/11123",0.130434782608696,4.90143948296122,3.09678130047622,0.0222815401906998,0.19998445387598,0.176774382306028,"CEACAM1/LILRB1/TIGIT",3
"GO:0019883","antigen processing and presentation of endogenous antigen","3/296","23/11123",0.130434782608696,4.90143948296122,3.09678130047622,0.0222815401906998,0.19998445387598,0.176774382306028,"B2M/TAP1/TAP2",3
"GO:0042026","protein refolding","3/296","23/11123",0.130434782608696,4.90143948296122,3.09678130047622,0.0222815401906998,0.19998445387598,0.176774382306028,"DNAJA1/B2M/HSPA7",3
"GO:0042401","biogenic amine biosynthetic process","3/296","23/11123",0.130434782608696,4.90143948296122,3.09678130047622,0.0222815401906998,0.19998445387598,0.176774382306028,"GATA3/AANAT/SAT1",3
