"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9617324","Negative regulation of NMDA receptor-mediated neuronal transmission","4/763","12/7483",0.333333333333333,3.26911314984709,2.65059815796474,0.0272352101898438,0.999995710105417,0.999995710105417,"DLG3/DLG4/CALM2/CAMK4",4
"R-HSA-917977","Transferrin endocytosis and recycling","6/763","24/7483",0.25,2.45183486238532,2.40031932918284,0.0298822618730204,0.999995710105417,0.999995710105417,"ATP6V1H/ATP6V1D/ATP6V0E1/ATP6V1E1/ATP6V0E2/ATP6V0A2",6
"R-HSA-1362277","Transcription of E2F targets under negative control by DREAM complex","5/763","18/7483",0.277777777777778,2.72426095820591,2.46780491949564,0.0302136932248754,0.999995710105417,0.999995710105417,"RBL1/TFDP2/MAX/MYC/RBBP4",5
"R-HSA-2514856","The phototransduction cascade","5/763","18/7483",0.277777777777778,2.72426095820591,2.46780491949564,0.0302136932248754,0.999995710105417,0.999995710105417,"SLC24A1/CALM2/NMT2/PRKCA/METAP1",5
"R-HSA-201722","Formation of the beta-catenin:TCF transactivating complex","9/763","44/7483",0.204545454545455,2.00604670558799,2.25514092583014,0.0308493323229628,0.999995710105417,0.999995710105417,"TLE2/TCF7/ASH2L/H3-3B/MYC/LEF1/AXIN2/BCL9L/H2BC12",9
"R-HSA-2871809","FCERI mediated Ca+2 mobilization","7/763","31/7483",0.225806451612903,2.21456052086416,2.28323213652962,0.0332349110778832,0.999995710105417,0.999995710105417,"BTK/ITPR3/NFATC2/ITK/PLCG1/CALM2/LAT",7
"R-HSA-9772755","Formation of WDR5-containing histone-modifying complexes","8/763","38/7483",0.210526315789474,2.06470304200869,2.21704458319426,0.034798235129733,0.999995710105417,0.999995710105417,"KANSL3/KMT2A/ASH2L/KANSL2/PAXIP1/YEATS2/WDR82/PSIP1",8
"R-HSA-983169","Class I MHC mediated antigen processing & presentation","44/763","329/7483",0.133738601823708,1.31161986559215,1.9477584689704,0.0353740066515286,0.999995710105417,0.999995710105417,"UBE3C/BTK/CYBA/KLHL42/PSME1/PSMC1/STX4/HERC1/UBE2S/CBLB/RBCK1/FBXL16/HERC2/UBAC1/LMO7/S100A8/KLHL3/TRIM4/ANAPC1/LY96/FBXO32/NCF1/UBE2J2/CTSS/S100A9/BTRC/CD14/FBXL14/FBXW8/MEX3C/ARIH2/PSMD13/ATG7/DZIP3/PSMB8/HLA-C/HLA-E/HLA-F/PSMB10/HLA-A/HLA-B/PSMB9/KCTD7/GAN",44
"R-HSA-1502540","Signaling by Activin","4/763","13/7483",0.307692307692308,3.01764290755116,2.4532520178779,0.0362434739970832,0.999995710105417,0.999995710105417,"TGFBR3/FSTL3/SMAD3/DRAP1",4
"R-HSA-2424491","DAP12 signaling","6/763","26/7483",0.230769230769231,2.26323218066337,2.1740737259851,0.0429585685621535,0.999995710105417,0.999995710105417,"BTK/PLCG1/PIK3R1/LCK/HLA-E/LAT",6
"R-HSA-1483249","Inositol phosphate metabolism","7/763","33/7483",0.212121212121212,2.08034473172088,2.09569306572183,0.0452406133432913,0.999995710105417,0.999995710105417,"ITPKC/INPP4B/PLCG1/PLCE1/ITPKB/CALM2/INPPL1",7
"R-HSA-9013424","RHOV GTPase cycle","7/763","33/7483",0.212121212121212,2.08034473172088,2.09569306572183,0.0452406133432913,0.999995710105417,0.999995710105417,"CDC42/TXNL1/ARHGEF7/PIK3R1/DLG5/WDR6/ZNF512B",7
"R-HSA-1660662","Glycosphingolipid metabolism","8/763","40/7483",0.2,1.96146788990826,2.05436333413349,0.0457368783656652,0.999995710105417,0.999995710105417,"HEXB/CTSA/GLA/SMPD4/GLB1/PSAP/NEU1/B3GALT4",8
