"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","9/546","48/5433",0.1875,1.86572802197802,2.01355859587177,0.0467707693921601,0.67715940032997,0.663566979934537,"637/959/6443/940/3107/3133/3134/3105/3106",9
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","24/546","170/5433",0.141176470588235,1.40478345184228,1.79219622304309,0.0530828881724906,0.698313110510441,0.684296077946062,"637/5601/7188/3710/4773/3984/10000/2185/5335/10053/8451/805/5295/472/5578/917/1073/8945/596/3107/3133/3134/3105/3106",24
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","18/546","120/5433",0.15,1.49258241758242,1.82370527151439,0.0531976948327432,0.698313110510441,0.684296077946062,"637/5601/7185/3710/4616/1522/8797/27429/10000/1509/10912/5295/472/824/1520/5783/596/1649",18
"Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","8/546","42/5433",0.19047619047619,1.89534275248561,1.94685826070585,0.0545229455653798,0.698313110510441,0.684296077946062,"5720/5700/51371/5710/5719/5696/5699/5698",8
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","17/546","113/5433",0.150442477876106,1.49698531556939,1.78435801055164,0.0577618895023552,0.703073933789494,0.68896133862729,"440193/5601/7089/9620/6932/4773/5467/4609/51176/5567/1952/5578/7476/6259/8945/4088/8313",17
"Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","14/546","89/5433",0.157303370786517,1.56525496974935,1.79705430180553,0.0591173277660836,0.703073933789494,0.68896133862729,"637/6452/4773/8797/2185/5335/5295/5578/3932/3107/3133/3105/27040/3106",14
"Metabolism","Glycan biosynthesis and metabolism","hsa00511","Other glycan degradation","4/546","16/5433",0.25,2.48763736263736,1.99174017407128,0.0691469596804832,0.751513602436806,0.736428692130266,"3074/284004/2720/4758",4
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","9/546","52/5433",0.173076923076923,1.72221048182587,1.74899672214272,0.0719807483497875,0.751513602436806,0.736428692130266,"51606/5601/998/51382/8992/5335/529/155066/23545",9
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","6/546","30/5433",0.2,1.99010989010989,1.81752994435449,0.0740572899285334,0.751513602436806,0.736428692130266,"940/3107/3133/3134/3105/3106",6
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","6/546","30/5433",0.2,1.99010989010989,1.81752994435449,0.0740572899285334,0.751513602436806,0.736428692130266,"940/3107/3133/3134/3105/3106",6
