ID_REF	Probe Name	miRNA_ID	Accession	Class Name	HC1	HC2	HC3	HC4	LTB1	LTB2	LTB3	LTB4	LTB5	LTB6	DS-TB1	DS-TB2	DS-TB3	DS-TB4	DS-TB5	DS-TB6	DR-TB1	DR-TB2	DR-TB3	DR-TB4		
hsa-miR-1178-3p	hsa-miR-1178-3p	hsa-miR-1178-3p	MIMAT0005823	Endogenous1	21.46	13.8	37.64	24.83	27.13	40.41	35.54	18.49	45.02	22.68	24.27	35.5	14.54	37.76	16.07	11.7	26.54	35.94	20.71	12.32		
hsa-miR-1180-3p	hsa-miR-1180-3p	hsa-miR-1180-3p	MIMAT0005825	Endogenous1	26.82	24.54	23.16	22.22	25.04	18.11	25.38	13.51	28.55	21.73	15.44	16.48	13.57	25.17	21.14	16.81	13.27	18.69	7.63	28.74		
hsa-miR-1183	hsa-miR-1183	hsa-miR-1183	MIMAT0005828	Endogenous1	41.57	19.94	17.37	28.75	28.17	22.29	35.54	19.91	40.62	34.96	16.54	19.02	11.63	45.63	31.29	19.01	12.06	12.94	7.63	26		
hsa-miR-1185-1-3p	hsa-miR-1185-1-3p	hsa-miR-1185-1-3p	MIMAT0022838	Endogenous1	30.84	18.4	47.77	47.05	43.82	51.55	32.15	9.95	30.74	24.57	29.78	36.77	25.2	29.89	16.91	17.55	32.58	24.44	27.24	9.58		
hsa-miR-1185-2-3p	hsa-miR-1185-2-3p	hsa-miR-1185-2-3p	MIMAT0022713	Endogenous1	76.44	23.77	44.87	36.59	38.6	41.8	66	17.06	45.02	43.47	36.4	35.5	27.14	44.05	24.53	19.01	38.61	41.69	43.59	28.74		
hsa-miR-1185-5p	hsa-miR-1185-5p	hsa-miR-1185-5p	MIMAT0005798	Endogenous1	34.87	25.31	31.85	28.75	29.21	33.44	23.69	9.24	20.86	25.51	19.85	31.7	16.48	39.33	26.22	11.7	19.3	11.5	15.26	19.16		
hsa-miR-1193	hsa-miR-1193	hsa-miR-1193	MIMAT0015049	Endogenous1	49.62	46.78	23.16	24.83	25.04	18.11	38.92	32.71	40.62	39.69	34.19	27.89	28.11	58.21	43.98	36.55	21.72	27.31	28.33	39.68		
hsa-miR-1197	hsa-miR-1197	hsa-miR-1197	MIMAT0005955	Endogenous1	71.07	33.74	56.46	70.57	71.99	80.81	57.54	25.6	48.31	56.7	31.99	55.79	31.99	78.67	43.98	12.43	44.64	44.56	33.78	39.68		
hsa-miR-1200	hsa-miR-1200	hsa-miR-1200	MIMAT0005863	Endogenous1	45.59	24.54	15.92	15.68	28.17	18.11	22	22.75	47.21	39.69	16.54	15.21	12.6	55.07	43.13	27.05	18.1	12.94	8.72	35.58		
hsa-miR-1202	hsa-miR-1202	hsa-miR-1202	MIMAT0005865	Endogenous1	46.93	28.37	39.08	40.51	42.78	26.47	40.61	27.73	37.33	44.41	38.6	40.57	30.05	51.92	32.14	21.2	32.58	47.44	31.6	27.37		
hsa-miR-1203	hsa-miR-1203	hsa-miR-1203	MIMAT0005866	Endogenous1	42.91	32.97	34.74	37.9	27.13	41.8	35.54	23.46	42.82	34.96	27.57	27.89	23.26	56.64	34.67	23.39	26.54	35.94	18.53	34.21		
hsa-miR-1204	hsa-miR-1204	hsa-miR-1204	MIMAT0005868	Endogenous1	14.75	11.5	20.27	14.38	24	6.97	10.15	14.93	15.37	17.95	20.96	15.21	7.75	17.31	11.84	5.12	14.48	12.94	7.63	15.05		
hsa-miR-1205	hsa-miR-1205	hsa-miR-1205	MIMAT0005869	Endogenous1	32.18	16.87	21.71	22.22	39.65	34.83	27.08	14.93	23.06	17.95	16.54	34.23	19.39	50.35	20.3	18.28	28.96	24.44	10.9	19.16		
hsa-miR-1206	hsa-miR-1206	hsa-miR-1206	MIMAT0005870	Endogenous1	128.74	48.31	44.87	54.89	35.47	66.88	77.84	38.4	109.8	92.61	43.02	69.73	44.59	121.14	49.05	50.44	53.09	47.44	42.5	86.21		
hsa-miR-122-5p	hsa-miR-122-5p	hsa-miR-122-5p	MIMAT0000421	Endogenous1	1.34	1	1.45	1.31	1.04	1.39	1.69	1	1.1	1	36.4	322.04	59.13	1.57	1	1	55.5	21.56	74.11	1.37		
hsa-miR-1224-3p	hsa-miR-1224-3p	hsa-miR-1224-3p	MIMAT0005459	Endogenous1	25.48	20.7	14.48	20.91	21.91	23.69	23.69	11.38	26.35	14.17	24.27	12.68	13.57	34.61	21.99	8.77	22.92	17.25	8.72	13.68		
hsa-miR-1224-5p	hsa-miR-1224-5p	hsa-miR-1224-5p	MIMAT0005458	Endogenous1	25.48	14.57	15.92	24.83	17.74	15.33	10.15	4.98	24.16	20.79	14.34	16.48	7.75	18.88	18.61	16.08	7.24	5.75	10.9	15.05		
hsa-miR-1226-3p	hsa-miR-1226-3p	hsa-miR-1226-3p	MIMAT0005577	Endogenous1	32.18	26.07	36.19	15.68	37.56	40.41	47.38	19.91	51.6	36.85	19.85	36.77	19.39	31.47	20.3	17.55	19.3	17.25	21.8	30.11		
hsa-miR-1228-3p	hsa-miR-1228-3p	hsa-miR-1228-3p	MIMAT0005583	Endogenous1	49.62	19.17	26.06	36.59	37.56	39.01	35.54	19.2	38.43	25.51	26.47	21.55	18.42	47.2	34.67	21.2	28.96	30.19	10.9	32.84		
hsa-miR-1233-3p	hsa-miR-1233-3p	hsa-miR-1233-3p	MIMAT0005588	Endogenous1	26.82	11.5	17.37	6.53	11.48	20.9	10.15	8.53	20.86	19.84	6.62	15.21	10.66	26.75	16.91	10.97	14.48	8.62	9.81	28.74		
hsa-miR-1234-3p	hsa-miR-1234-3p	hsa-miR-1234-3p	MIMAT0005589	Endogenous1	42.91	29.14	24.61	41.82	40.69	51.55	25.38	20.62	38.43	44.41	24.27	34.23	21.33	55.07	29.6	24.86	33.78	18.69	26.15	32.84		
