ID_REF	Probe Name	miRNA_ID	Accession	Class Name	HC1	HC2	HC3	HC4	LTB1	LTB2	LTB3	LTB4	LTB5	LTB6	DS-TB1	DS-TB2	DS-TB3	DS-TB4	DS-TB5	DS-TB6	DR-TB1	DR-TB2	DR-TB3	DR-TB4		
hsa-miR-1291	hsa-miR-1291	hsa-miR-1291	MIMAT0005881	Endogenous1	18.77	15.34	23.16	15.68	20.87	18.11	13.54	5.69	19.76	17.01	17.65	15.21	16.48	18.88	16.07	14.62	14.48	7.19	6.54	21.89		
hsa-miR-1293	hsa-miR-1293	hsa-miR-1293	MIMAT0005883	Endogenous1	44.25	23.01	17.37	27.44	25.04	30.65	25.38	12.09	34.04	28.35	16.54	20.29	15.51	26.75	25.37	13.89	15.68	21.56	18.53	20.53		
hsa-miR-1295a	hsa-miR-1295a	hsa-miR-1295a	MIMAT0005885	Endogenous1	52.3	22.24	41.98	33.98	37.56	34.83	33.84	20.62	48.31	34.02	27.57	22.82	10.66	31.47	32.14	20.47	26.54	20.12	13.08	23.26		
hsa-miR-1296-3p	hsa-miR-1296-3p	hsa-miR-1296-3p	MIMAT0026637	Endogenous1	44.25	32.21	43.43	27.44	35.47	48.77	32.15	26.31	34.04	36.85	17.65	16.48	12.6	48.77	31.29	25.59	25.34	30.19	11.99	35.58		
hsa-miR-1296-5p	hsa-miR-1296-5p	hsa-miR-1296-5p	MIMAT0005794	Endogenous1	21.46	12.27	15.92	11.76	16.69	15.33	8.46	6.4	28.55	16.06	13.24	11.41	10.66	15.73	6.77	10.97	18.1	8.62	14.17	12.32		
hsa-miR-1297	hsa-miR-1297	hsa-miR-1297	MIMAT0005886	Endogenous1	63.03	46.01	69.48	58.81	63.65	84.99	74.46	27.73	64.78	55.75	39.71	59.59	33.93	59.79	34.67	28.51	55.5	57.5	44.68	38.32		
hsa-miR-1298-5p	hsa-miR-1298-5p	hsa-miR-1298-5p	MIMAT0005800	Endogenous1	48.28	32.21	34.74	31.36	33.39	22.29	20.31	17.06	41.72	32.13	24.27	22.82	9.69	55.07	25.37	23.39	16.89	11.5	13.08	32.84		
hsa-miR-1299	hsa-miR-1299	hsa-miR-1299	MIMAT0005887	Endogenous1	29.5	20.7	43.43	30.06	29.21	22.29	15.23	13.51	42.82	34.96	15.44	16.48	12.6	31.47	19.45	17.55	21.72	10.06	11.99	17.79		
hsa-miR-1301-3p	hsa-miR-1301-3p	hsa-miR-1301-3p	MIMAT0005797	Endogenous1	22.8	11.5	23.16	15.68	12.52	13.93	22	7.11	25.25	17.95	18.75	16.48	3.88	17.31	15.22	11.7	8.45	10.06	7.63	19.16		
hsa-miR-1302	hsa-miR-1302	hsa-miR-1302	MIMAT0005890	Endogenous1	44.25	19.17	21.71	23.52	26.08	23.69	23.69	15.64	28.55	28.35	20.96	12.68	14.54	45.63	27.91	13.89	15.68	11.5	9.81	28.74		
hsa-miR-1303	hsa-miR-1303	hsa-miR-1303	MIMAT0005891	Endogenous1	24.14	19.94	15.92	18.3	21.91	27.87	15.23	16.35	19.76	17.01	22.06	24.09	11.63	28.32	19.45	10.97	18.1	14.37	19.62	15.05		
hsa-miR-1304-3p	hsa-miR-1304-3p	hsa-miR-1304-3p	MIMAT0022720	Endogenous1	21.46	15.34	18.82	15.68	19.82	26.47	18.61	12.09	25.25	33.07	13.24	11.41	7.75	25.17	25.37	11.7	13.27	11.5	10.9	24.63		
hsa-miR-1304-5p	hsa-miR-1304-5p	hsa-miR-1304-5p	MIMAT0005892	Endogenous1	36.21	36.81	36.19	23.52	30.26	33.44	50.77	22.75	31.84	38.74	18.75	31.7	27.14	70.8	32.98	24.12	21.72	20.12	20.71	35.58		
hsa-miR-1305	hsa-miR-1305	hsa-miR-1305	MIMAT0005893	Endogenous1	40.23	33.74	43.43	43.13	51.13	73.84	38.92	28.44	52.7	50.08	40.81	30.43	24.23	66.08	41.44	22.66	25.34	41.69	21.8	46.53		
hsa-miR-1306-3p	hsa-miR-1306-3p	hsa-miR-1306-3p	MIMAT0005950	Endogenous1	50.96	31.44	47.77	47.05	50.08	43.19	35.54	26.31	37.33	43.47	34.19	32.97	20.36	61.36	27.91	18.28	32.58	41.69	21.8	24.63		
hsa-miR-1306-5p	hsa-miR-1306-5p	hsa-miR-1306-5p	MIMAT0022726	Endogenous1	21.46	18.4	14.48	16.99	28.17	26.47	25.38	15.64	31.84	19.84	8.82	20.29	12.6	12.59	21.14	10.23	15.68	12.94	15.26	20.53		
hsa-miR-1307-3p	hsa-miR-1307-3p	hsa-miR-1307-3p	MIMAT0005951	Endogenous1	44.25	40.64	36.19	24.83	33.39	43.19	32.15	23.46	39.53	46.3	25.37	29.16	21.33	56.64	24.53	24.12	30.16	25.87	18.53	38.32		
hsa-miR-1307-5p	hsa-miR-1307-5p	hsa-miR-1307-5p	MIMAT0022727	Endogenous1	68.39	29.14	43.43	27.44	33.39	48.77	45.69	21.33	53.8	53.86	28.68	36.77	29.08	62.93	33.83	40.94	36.19	41.69	22.89	26		
hsa-miR-130a-3p	hsa-miR-130a-3p	hsa-miR-130a-3p	MIMAT0000425	Endogenous1	73.75	77.45	56.46	56.2	57.39	80.81	55.84	103.81	49.41	87.88	68.38	105.24	86.27	62.93	86.26	97.23	68.77	84.81	79.55	82.1		
hsa-miR-130b-3p	hsa-miR-130b-3p	hsa-miR-130b-3p	MIMAT0000691	Endogenous1	18.77	22.24	34.74	26.14	18.78	19.51	22	18.49	29.64	12.28	16.54	20.29	21.33	20.45	21.14	19.74	15.68	14.37	26.15	23.26		
hsa-miR-132-3p	hsa-miR-132-3p	hsa-miR-132-3p	MIMAT0000426	Endogenous1	75.1	49.08	52.11	35.29	86.6	47.37	37.23	62.57	61.49	66.15	334.2	348.67	74.64	81.81	168.29	147.67	90.49	96.31	187.44	172.42		
hsa-miR-1322	hsa-miR-1322	hsa-miR-1322	MIMAT0005953	Endogenous1	29.5	13.8	26.06	32.67	36.52	37.62	27.08	16.35	35.13	20.79	23.16	21.55	10.66	45.63	33.83	17.55	25.34	27.31	16.35	16.42		
hsa-miR-1323	hsa-miR-1323	hsa-miR-1323	MIMAT0005795	Endogenous1	59	32.97	28.95	20.91	22.95	40.41	40.61	29.15	51.6	55.75	24.27	24.09	20.36	75.52	41.44	21.2	21.72	31.62	21.8	32.84		
hsa-miR-133a-3p	hsa-miR-133a-3p	hsa-miR-133a-3p	MIMAT0000427	Endogenous1	38.89	31.44	21.71	31.36	31.3	37.62	30.46	26.31	42.82	29.29	27.57	19.02	12.6	37.76	32.98	10.97	15.68	14.37	20.71	41.05		
hsa-miR-133a-5p	hsa-miR-133a-5p	hsa-miR-133a-5p	MIMAT0026478	Endogenous1	42.91	23.77	30.4	22.22	28.17	41.8	28.77	25.6	30.74	29.29	19.85	32.97	13.57	36.19	25.37	20.47	20.51	27.31	15.26	27.37		
hsa-miR-133b	hsa-miR-133b	hsa-miR-133b	MIMAT0000770	Endogenous1	17.43	6.9	15.92	16.99	22.95	18.11	20.31	7.11	18.67	11.34	11.03	13.95	9.69	20.45	19.45	9.5	12.06	18.69	9.81	13.68		
hsa-miR-134-3p	hsa-miR-134-3p	hsa-miR-134-3p	MIMAT0026481	Endogenous1	41.57	19.94	30.4	16.99	28.17	27.87	20.31	14.22	39.53	32.13	18.75	21.55	10.66	25.17	20.3	21.2	26.54	28.75	8.72	27.37		
hsa-miR-134-5p+hsa-miR-6728-5p	hsa-miR-134-5p+hsa-miR-6728-5p	hsa-miR-134-5p+hsa-miR-6728-5p	MIMAT0000447	Endogenous1	36.21	19.17	11.58	13.07	14.61	16.72	13.54	16.35	24.16	28.35	11.03	13.95	12.6	33.04	16.07	16.08	15.68	11.5	8.72	15.05		
hsa-miR-135a-5p	hsa-miR-135a-5p	hsa-miR-135a-5p	MIMAT0000428	Endogenous1	32.18	20.7	10.13	18.3	16.69	11.15	6.77	12.8	45.02	27.4	13.24	17.75	2.91	31.47	20.3	13.89	7.24	11.5	7.63	24.63		
hsa-miR-135b-5p	hsa-miR-135b-5p	hsa-miR-135b-5p	MIMAT0000758	Endogenous1	38.89	19.17	24.61	35.29	51.13	36.23	23.69	26.31	31.84	33.07	17.65	32.97	11.63	50.35	32.14	15.35	19.3	25.87	22.89	35.58		
hsa-miR-136-5p	hsa-miR-136-5p	hsa-miR-136-5p	MIMAT0000448	Endogenous1	30.84	22.24	27.5	22.22	34.43	37.62	33.84	27.02	29.64	34.02	15.44	21.55	20.36	37.76	24.53	17.55	22.92	31.62	18.53	31.47		
hsa-miR-137	hsa-miR-137	hsa-miR-137	MIMAT0000429	Endogenous1	41.57	25.31	21.71	13.07	24	18.11	32.15	16.35	38.43	28.35	18.75	26.63	8.72	44.05	22.83	18.28	15.68	15.81	16.35	38.32		
hsa-miR-138-5p	hsa-miR-138-5p	hsa-miR-138-5p	MIMAT0000430	Endogenous1	34.87	32.21	44.87	52.27	43.82	50.16	30.46	21.33	47.21	35.91	29.78	26.63	21.33	51.92	29.6	32.17	32.58	43.12	32.69	46.53		
hsa-miR-139-3p	hsa-miR-139-3p	hsa-miR-139-3p	MIMAT0004552	Endogenous1	36.21	21.47	47.77	47.05	46.95	61.31	40.61	10.67	39.53	21.73	30.88	45.64	34.9	45.63	21.14	16.08	28.96	27.31	27.24	17.79		
hsa-miR-139-5p	hsa-miR-139-5p	hsa-miR-139-5p	MIMAT0000250	Endogenous1	29.5	13.04	10.13	22.22	18.78	29.26	11.85	10.67	25.25	23.62	8.82	10.14	11.63	34.61	10.99	11.7	14.48	11.5	13.08	12.32		
hsa-miR-140-3p	hsa-miR-140-3p	hsa-miR-140-3p	MIMAT0004597	Endogenous1	89.85	32.21	23.16	30.06	40.69	34.83	13.54	38.4	54.9	45.36	18.75	25.36	13.57	77.09	54.12	36.55	27.75	35.94	30.51	24.63		
hsa-miR-140-5p	hsa-miR-140-5p	hsa-miR-140-5p	MIMAT0000431	Endogenous1	172.99	281.43	208.45	179.04	202.41	160.23	192.92	329.21	219.59	202.22	263.61	248.51	322.79	182.5	246.1	312.89	253.36	229.99	257.19	214.84		
hsa-miR-141-3p	hsa-miR-141-3p	hsa-miR-141-3p	MIMAT0000432	Endogenous1	38.89	19.17	26.06	24.83	29.21	23.69	18.61	18.49	31.84	31.18	24.27	20.29	15.51	26.75	22.83	16.08	18.1	23	15.26	24.63		
hsa-miR-142-3p	hsa-miR-142-3p	hsa-miR-142-3p	MIMAT0000434	Endogenous1	12154.8	23754.43	13254.03	8089.56	9233.82	8430.86	13801.88	28380.77	16673.64	14130.22	19816.87	15456.89	20589.52	12389.82	21703.27	25977.89	17157.41	19138.35	30472.67	27477.71		
hsa-miR-142-5p	hsa-miR-142-5p	hsa-miR-142-5p	MIMAT0000433	Endogenous1	17.43	17.64	27.5	16.99	18.78	27.87	13.54	18.49	38.43	27.4	15.44	12.68	15.51	25.17	26.22	11.7	12.06	17.25	13.08	15.05		
hsa-miR-143-3p	hsa-miR-143-3p	hsa-miR-143-3p	MIMAT0000435	Endogenous1	1.34	1	1.45	1.31	1.04	1.39	1.69	1	1.1	1	1.1	1.27	1	1.57	1	1	1.21	1.44	1.09	1.37		
hsa-miR-144-3p	hsa-miR-144-3p	hsa-miR-144-3p	MIMAT0000436	Endogenous1	36.21	26.07	31.85	27.44	24	27.87	13.54	19.91	29.64	107.73	24.27	15.21	23.26	48.77	26.22	16.81	25.34	35.94	51.22	15.05		
hsa-miR-145-5p	hsa-miR-145-5p	hsa-miR-145-5p	MIMAT0000437	Endogenous1	33.52	20.7	28.95	11.76	16.69	18.11	30.46	21.33	26.35	18.9	19.85	25.36	23.26	14.16	27.06	20.47	26.54	11.5	9.81	17.79		
hsa-miR-1469	hsa-miR-1469	hsa-miR-1469	MIMAT0007347	Endogenous1	26.82	9.97	7.24	15.68	9.39	18.11	10.15	8.53	18.67	17.95	9.93	11.41	10.66	31.47	13.53	12.43	6.03	15.81	9.81	17.79		
hsa-miR-146a-5p	hsa-miR-146a-5p	hsa-miR-146a-5p	MIMAT0000449	Endogenous1	115.33	87.42	65.14	73.18	242.06	86.38	138.76	165.67	70.27	122.85	25.37	51.98	107.6	61.36	49.9	57.02	53.09	133.68	196.16	88.95		
hsa-miR-146b-3p	hsa-miR-146b-3p	hsa-miR-146b-3p	MIMAT0004766	Endogenous1	17.43	11.5	15.92	14.38	18.78	27.87	16.92	12.09	15.37	7.56	5.51	16.48	13.57	25.17	18.61	6.58	7.24	4.31	7.63	24.63		
hsa-miR-146b-5p	hsa-miR-146b-5p	hsa-miR-146b-5p	MIMAT0002809	Endogenous1	42.91	29.91	40.53	30.06	37.56	50.16	40.61	32.71	74.66	65.2	39.71	39.3	28.11	66.08	53.28	43.13	37.4	24.44	32.69	39.68		
hsa-miR-147a	hsa-miR-147a	hsa-miR-147a	MIMAT0000251	Endogenous1	53.64	23.77	41.98	36.59	30.26	33.44	28.77	19.2	46.11	34.02	26.47	24.09	22.29	55.07	21.14	19.74	27.75	27.31	19.62	38.32		
hsa-miR-147b	hsa-miR-147b	hsa-miR-147b	MIMAT0004928	Endogenous1	17.43	19.17	24.61	11.76	22.95	25.08	15.23	13.51	21.96	15.12	14.34	20.29	10.66	42.48	21.99	10.97	12.06	10.06	7.63	23.26		
hsa-miR-148a-3p	hsa-miR-148a-3p	hsa-miR-148a-3p	MIMAT0000243	Endogenous1	138.12	314.4	159.23	90.17	102.25	71.06	93.07	221.13	292.06	110.56	119.12	116.65	221.01	130.58	276.54	839.25	160.46	225.68	131.86	145.05		
hsa-miR-148b-3p	hsa-miR-148b-3p	hsa-miR-148b-3p	MIMAT0000759	Endogenous1	160.92	198.61	195.42	168.59	223.28	158.84	120.15	205.49	142.73	168.21	185.3	121.72	198.71	110.13	177.6	184.96	166.49	145.18	176.55	128.63		
hsa-miR-149-5p	hsa-miR-149-5p	hsa-miR-149-5p	MIMAT0000450	Endogenous1	36.21	38.34	46.32	27.44	24	37.62	25.38	29.15	68.07	58.59	23.16	38.04	21.33	70.8	38.06	34.36	20.51	31.62	27.24	39.68		
hsa-miR-150-5p	hsa-miR-150-5p	hsa-miR-150-5p	MIMAT0000451	Endogenous1	49.62	223.15	246.09	343.71	137.72	199.24	350.29	302.9	670.85	947.81	105.88	398.12	186.11	136.88	600.45	252.21	2490.18	705.79	1296.85	1331.46		
hsa-miR-151a-3p	hsa-miR-151a-3p	hsa-miR-151a-3p	MIMAT0000757	Endogenous1	37.55	16.87	26.06	22.22	49.04	34.83	22	10.67	28.55	23.62	19.85	43.11	19.39	17.31	16.91	18.28	20.51	20.12	20.71	27.37		
hsa-miR-151a-5p	hsa-miR-151a-5p	hsa-miR-151a-5p	MIMAT0004697	Endogenous1	13.41	14.57	10.13	16.99	19.82	12.54	11.85	17.06	28.55	17.95	8.82	15.21	11.63	20.45	19.45	6.58	8.45	12.94	11.99	12.32		
hsa-miR-151b	hsa-miR-151b	hsa-miR-151b	MIMAT0010214	Endogenous1	28.16	21.47	15.92	14.38	13.56	12.54	13.54	14.22	24.16	22.68	6.62	12.68	8.72	31.47	21.99	13.16	4.83	5.75	5.45	20.53		
hsa-miR-152-3p	hsa-miR-152-3p	hsa-miR-152-3p	MIMAT0000438	Endogenous1	40.23	16.1	4.34	14.38	19.82	11.15	11.85	21.33	30.74	28.35	8.82	12.68	7.75	25.17	31.29	17.55	7.24	11.5	6.54	31.47		
hsa-miR-152-5p	hsa-miR-152-5p	hsa-miR-152-5p	MIMAT0026479	Endogenous1	25.48	10.74	10.13	7.84	5.22	6.97	3.38	14.93	18.67	13.23	4.41	7.61	4.85	23.6	7.61	8.77	3.62	5.75	2.18	21.89		
hsa-miR-153-3p	hsa-miR-153-3p	hsa-miR-153-3p	MIMAT0000439	Endogenous1	26.82	16.87	24.61	28.75	15.65	29.26	44	10.67	15.37	22.68	19.85	21.55	14.54	25.17	13.53	13.16	18.1	23	13.08	17.79		
hsa-miR-1537-3p	hsa-miR-1537-3p	hsa-miR-1537-3p	MIMAT0007399	Endogenous1	410.35	509.95	398.08	263.99	331.79	210.39	375.68	593	307.43	385.55	379.42	169.9	293.71	276.9	477.82	541.71	265.43	241.49	280.08	272.31		
hsa-miR-154-5p	hsa-miR-154-5p	hsa-miR-154-5p	MIMAT0000452	Endogenous1	21.46	17.64	21.71	24.83	31.3	20.9	22	11.38	21.96	25.51	16.54	30.43	12.6	34.61	21.14	11.7	36.19	25.87	25.07	15.05		
hsa-miR-155-5p	hsa-miR-155-5p	hsa-miR-155-5p	MIMAT0000646	Endogenous1	81.8	115.03	60.8	60.12	71.99	57.13	64.31	109.5	103.21	95.44	66.18	44.38	79.49	92.83	76.11	84.8	44.64	56.06	49.04	90.32		
hsa-miR-15a-5p	hsa-miR-15a-5p	hsa-miR-15a-5p	MIMAT0000068	Endogenous1	3018.59	5282	3217.97	3105.13	2932.91	2918.96	3704.31	5457.16	3602.41	3521.92	4892.73	4082.62	5214.99	3011.32	5156.25	6303.85	4308.35	4661.68	6147.5	2706.72		
hsa-miR-15b-5p	hsa-miR-15b-5p	hsa-miR-15b-5p	MIMAT0000417	Endogenous1	2226.06	5214.52	2314.68	2241.29	2180.64	2069.05	2018.84	5241	2784.43	3205.36	2668.06	2052.72	3034.97	2016.98	3805.66	4406.77	2837.65	2463.81	2964.23	2471.35		
hsa-miR-16-5p	hsa-miR-16-5p	hsa-miR-16-5p	MIMAT0000069	Endogenous1	1210.92	2621.06	936.58	857.31	1135.19	849.91	1076.26	4303.15	1945.59	2092.18	1182.37	1106.87	1996.82	1285.39	2107.49	3262.68	1566.02	1559.64	2514.14	1721.46		
hsa-miR-181a-2-3p	hsa-miR-181a-2-3p	hsa-miR-181a-2-3p	MIMAT0004558	Endogenous1	24.14	16.87	31.85	33.98	25.04	29.26	22	14.93	27.45	20.79	29.78	38.04	11.63	33.04	22.83	14.62	22.92	24.44	9.81	28.74		
hsa-miR-181a-3p	hsa-miR-181a-3p	hsa-miR-181a-3p	MIMAT0000270	Endogenous1	57.66	48.31	55.01	53.58	44.86	55.73	40.61	65.41	53.8	47.25	68.38	57.06	54.28	58.21	51.59	102.35	47.05	54.62	47.95	61.58		
hsa-miR-181a-5p	hsa-miR-181a-5p	hsa-miR-181a-5p	MIMAT0000256	Endogenous1	1393.3	1985.35	1030.68	1444.1	1091.36	1290.2	967.96	2833.46	1643.65	1668.83	1816.57	1115.75	1751.58	910.95	1841.94	3354.06	1283.7	1551.02	1580.19	1595.57		
hsa-miR-181b-2-3p	hsa-miR-181b-2-3p	hsa-miR-181b-2-3p	MIMAT0031893	Endogenous1	33.52	31.44	26.06	32.67	42.78	36.23	37.23	20.62	53.8	45.36	26.47	43.11	19.39	56.64	29.6	16.08	25.34	25.87	20.71	30.11		
hsa-miR-181b-5p+hsa-miR-181d-5p	hsa-miR-181b-5p+hsa-miR-181d-5p	hsa-miR-181b-5p+hsa-miR-181d-5p	MIMAT0000257	Endogenous1	38.89	48.31	49.22	37.9	37.56	50.16	40.61	63.28	56	54.81	35.29	35.5	37.8	48.77	37.21	74.57	41.02	40.25	30.51	41.05		
hsa-miR-181c-5p	hsa-miR-181c-5p	hsa-miR-181c-5p	MIMAT0000258	Endogenous1	42.91	45.24	26.06	40.51	46.95	39.01	20.31	56.88	49.41	52.92	28.68	17.75	41.68	36.19	45.67	54.83	31.37	28.75	26.15	47.89		
hsa-miR-181d-3p	hsa-miR-181d-3p	hsa-miR-181d-3p	MIMAT0026608	Endogenous1	40.23	19.17	17.37	30.06	21.91	22.29	25.38	15.64	34.04	35.91	11.03	19.02	9.69	31.47	21.99	15.35	16.89	27.31	6.54	39.68		
hsa-miR-182-3p	hsa-miR-182-3p	hsa-miR-182-3p	MIMAT0000260	Endogenous1	29.5	19.17	20.27	19.6	18.78	15.33	15.23	14.93	35.13	25.51	11.03	19.02	12.6	34.61	21.99	14.62	12.06	15.81	9.81	15.05		
hsa-miR-182-5p	hsa-miR-182-5p	hsa-miR-182-5p	MIMAT0000259	Endogenous1	18.77	15.34	10.13	13.07	14.61	19.51	6.77	7.11	15.37	18.9	13.24	15.21	8.72	22.03	14.38	13.89	12.06	20.12	11.99	19.16		
hsa-miR-1827	hsa-miR-1827	hsa-miR-1827	MIMAT0006767	Endogenous1	60.34	41.41	36.19	32.67	46.95	48.77	42.31	25.6	75.76	51.03	36.4	77.34	20.36	110.13	39.75	29.24	36.19	34.5	30.51	46.53		
hsa-miR-183-5p	hsa-miR-183-5p	hsa-miR-183-5p	MIMAT0000261	Endogenous1	101.92	45.24	40.53	47.05	52.17	54.34	50.77	32	63.68	57.64	40.81	54.52	36.83	77.09	47.36	38.75	32.58	43.12	27.24	43.79		
hsa-miR-184	hsa-miR-184	hsa-miR-184	MIMAT0000454	Endogenous1	30.84	19.94	21.71	16.99	25.04	26.47	33.84	9.95	26.35	19.84	23.16	20.29	11.63	39.33	21.14	22.66	14.48	28.75	14.17	20.53		
hsa-miR-185-5p	hsa-miR-185-5p	hsa-miR-185-5p	MIMAT0000455	Endogenous1	48.28	102.76	49.22	48.35	58.43	48.77	44	96.7	62.58	76.54	58.46	64.66	63.98	69.23	67.66	71.64	59.12	77.62	68.66	69.79		
hsa-miR-186-5p	hsa-miR-186-5p	hsa-miR-186-5p	MIMAT0000456	Endogenous1	72.41	119.63	60.8	54.89	65.73	66.88	66	123.01	126.27	110.56	58.46	48.18	68.82	64.51	114.17	95.04	56.7	61.81	71.93	105.37		
hsa-miR-187-3p	hsa-miR-187-3p	hsa-miR-187-3p	MIMAT0000262	Endogenous1	30.84	20.7	26.06	24.83	25.04	26.47	23.69	16.35	39.53	27.4	15.44	24.09	16.48	26.75	24.53	14.62	16.89	21.56	11.99	20.53		
hsa-miR-188-3p	hsa-miR-188-3p	hsa-miR-188-3p	MIMAT0004613	Endogenous1	24.14	23.77	10.13	16.99	16.69	11.15	13.54	17.06	32.94	15.12	12.13	20.29	6.79	33.04	26.22	10.97	22.92	10.06	6.54	17.79		
hsa-miR-188-5p	hsa-miR-188-5p	hsa-miR-188-5p	MIMAT0000457	Endogenous1	60.34	38.34	53.56	41.82	59.47	48.77	35.54	26.31	57.09	47.25	26.47	46.91	32.96	78.67	42.29	24.86	51.88	40.25	23.98	56.1		
hsa-miR-18a-5p	hsa-miR-18a-5p	hsa-miR-18a-5p	MIMAT0000072	Endogenous1	46.93	61.35	49.22	52.27	60.52	37.62	57.54	74.66	45.02	53.86	71.69	43.11	58.16	66.08	64.27	86.26	55.5	63.25	52.31	43.79		
hsa-miR-18b-5p	hsa-miR-18b-5p	hsa-miR-18b-5p	MIMAT0001412	Endogenous1	21.46	18.4	14.48	24.83	19.82	9.75	16.92	14.22	26.35	20.79	19.85	20.29	19.39	20.45	17.76	16.08	28.96	21.56	13.08	15.05		
hsa-miR-1908-3p	hsa-miR-1908-3p	hsa-miR-1908-3p	MIMAT0026916	Endogenous1	30.84	20.7	10.13	18.3	19.82	22.29	11.85	14.22	27.45	18.9	9.93	15.21	10.66	20.45	16.07	10.23	12.06	10.06	6.54	10.95		
hsa-miR-1908-5p	hsa-miR-1908-5p	hsa-miR-1908-5p	MIMAT0007881	Endogenous1	21.46	13.8	20.27	15.68	8.35	13.93	10.15	10.67	26.35	21.73	7.72	11.41	9.69	14.16	20.3	12.43	8.45	10.06	7.63	17.79		
hsa-miR-1909-3p	hsa-miR-1909-3p	hsa-miR-1909-3p	MIMAT0007883	Endogenous1	26.82	16.87	15.92	19.6	18.78	13.93	10.15	11.38	31.84	33.07	19.85	15.21	11.63	28.32	17.76	12.43	14.48	14.37	8.72	23.26		
hsa-miR-190a-3p	hsa-miR-190a-3p	hsa-miR-190a-3p	MIMAT0026482	Endogenous1	29.5	23.01	30.4	36.59	19.82	25.08	11.85	22.75	47.21	33.07	17.65	22.82	14.54	47.2	21.99	10.23	16.89	24.44	11.99	23.26		
hsa-miR-190a-5p	hsa-miR-190a-5p	hsa-miR-190a-5p	MIMAT0000458	Endogenous1	25.48	39.88	33.29	23.52	18.78	36.23	11.85	24.89	40.62	27.4	13.24	13.95	15.51	50.35	16.91	27.05	14.48	17.25	19.62	20.53		
hsa-miR-190b	hsa-miR-190b	hsa-miR-190b	MIMAT0004929	Endogenous1	45.59	36.04	36.19	37.9	25.04	29.26	23.69	26.31	42.82	38.74	38.6	44.38	19.39	51.92	30.45	24.86	30.16	43.12	25.07	30.11		
hsa-miR-191-5p	hsa-miR-191-5p	hsa-miR-191-5p	MIMAT0000440	Endogenous1	1759.39	3583.45	1758.81	2301.41	2080.48	2006.35	2039.15	3005.52	2450.65	2415.36	2981.3	2741.19	3180.37	2199.49	2498.21	2796.27	2583.08	2728.3	3931.96	3385.45		
hsa-miR-1910-3p	hsa-miR-1910-3p	hsa-miR-1910-3p	MIMAT0026917	Endogenous1	20.11	7.67	18.82	13.07	13.56	16.72	10.15	10.67	13.18	7.56	16.54	11.41	4.85	9.44	22.83	8.77	14.48	15.81	8.72	6.84		
hsa-miR-1910-5p	hsa-miR-1910-5p	hsa-miR-1910-5p	MIMAT0007884	Endogenous1	17.43	10.74	18.82	20.91	16.69	16.72	8.46	8.53	18.67	24.57	13.24	12.68	11.63	23.6	10.15	9.5	10.86	24.44	14.17	17.79		
hsa-miR-1915-3p	hsa-miR-1915-3p	hsa-miR-1915-3p	MIMAT0007892	Endogenous1	9.39	9.2	24.61	22.22	15.65	16.72	13.54	13.51	15.37	15.12	11.03	11.41	7.75	12.59	5.07	5.12	6.03	14.37	16.35	6.84		
hsa-miR-192-5p	hsa-miR-192-5p	hsa-miR-192-5p	MIMAT0000222	Endogenous1	33.52	23.77	34.74	32.67	35.47	25.08	22	19.91	52.7	30.24	20.96	31.7	14.54	44.05	21.14	17.55	31.37	24.44	20.71	24.63		
hsa-miR-193a-3p	hsa-miR-193a-3p	hsa-miR-193a-3p	MIMAT0000459	Endogenous1	44.25	23.01	11.58	24.83	16.69	11.15	10.15	17.06	46.11	40.63	8.82	19.02	9.69	51.92	31.29	16.81	19.3	10.06	3.27	32.84		
hsa-miR-193a-5p+hsa-miR-193b-5p	hsa-miR-193a-5p+hsa-miR-193b-5p	hsa-miR-193a-5p+hsa-miR-193b-5p	MIMAT0004614	Endogenous1	33.52	35.27	14.48	19.6	27.13	41.8	25.38	28.44	30.74	31.18	17.65	25.36	18.42	28.32	25.37	15.35	16.89	28.75	20.71	21.89		
hsa-miR-193b-3p	hsa-miR-193b-3p	hsa-miR-193b-3p	MIMAT0002819	Endogenous1	18.77	13.8	18.82	16.99	17.74	19.51	10.15	4.98	20.86	22.68	17.65	11.41	9.69	7.87	11.84	6.58	16.89	17.25	8.72	21.89		
hsa-miR-194-5p	hsa-miR-194-5p	hsa-miR-194-5p	MIMAT0000460	Endogenous1	25.48	13.8	21.71	18.3	26.08	26.47	11.85	14.93	24.16	23.62	14.34	22.82	9.69	22.03	21.99	16.08	10.86	24.44	15.26	20.53		
hsa-miR-195-5p	hsa-miR-195-5p	hsa-miR-195-5p	MIMAT0000461	Endogenous1	30.84	23.01	28.95	20.91	18.78	18.11	15.23	7.82	37.33	34.02	13.24	26.63	14.54	20.45	21.14	14.62	16.89	28.75	11.99	32.84		
hsa-miR-196a-3p	hsa-miR-196a-3p	hsa-miR-196a-3p	MIMAT0004562	Endogenous1	41.57	25.31	36.19	20.91	27.13	36.23	16.92	15.64	46.11	30.24	25.37	25.36	16.48	36.19	28.75	19.74	15.68	12.94	19.62	19.16		
hsa-miR-196a-5p	hsa-miR-196a-5p	hsa-miR-196a-5p	MIMAT0000226	Endogenous1	37.55	22.24	27.5	50.97	67.82	71.06	45.69	16.35	35.13	22.68	24.27	40.57	20.36	40.91	27.91	16.08	42.23	31.62	13.08	24.63		
