"miRNA","logFC","P.Value","adj.P.Val","AveExpr","t"
"hsa-let-7a-5p",0.234378037014483,0.41901749828994,0.999411333975935,12.9931576552421,0.821724260145853
"hsa-let-7b-5p",0.0903661025375868,0.752285010783306,0.999411333975935,10.4186346135685,0.319129386559721
"hsa-let-7c-5p",-0.00729941640683762,0.978737329348125,0.999411333975935,6.2865146198536,-0.0269204847223883
"hsa-let-7d-5p",0.0128950411385151,0.963245811695238,0.999411333975935,9.41879732988584,0.0465457912448577
"hsa-let-7e-5p",-0.119451810707162,0.679847453954615,0.999411333975935,4.59810383884375,-0.417550279426233
"hsa-let-7f-5p",0.390727370632581,0.208963351657525,0.999411333975935,8.47799239892656,1.28975576691919
"hsa-let-7g-5p",0.154535040292766,0.666584468516148,0.999411333975935,11.3153871571204,0.436002279270604
"hsa-let-7i-5p",0.268593348247503,0.473802008297207,0.999411333975935,10.0205073966297,0.727317018159024
"hsa-miR-1-3p",-0.065773223403923,0.851378285340251,0.999411333975935,4.0585683542552,-0.189314149876416
"hsa-miR-1-5p",0.107206326751386,0.762418099296878,0.999411333975935,5.00703048158104,0.305635050902346
"hsa-miR-100-5p",0.0546730594400842,0.849360455033285,0.999411333975935,4.9251372214781,0.191917277371362
"hsa-miR-101-3p",0.0891246529308329,0.764432544583401,0.999411333975935,4.74760198185242,0.302959332287715
"hsa-miR-103a-3p",0.189694283762318,0.49684394486272,0.999411333975935,5.07839720902002,0.689545442672356
"hsa-miR-105-5p",0.0680893893423198,0.810287272133302,0.999411333975935,4.64207848295392,0.242614729088516
"hsa-miR-106a-5p+hsa-miR-17-5p",0.0620898403214252,0.821196040428462,0.999411333975935,8.57897528636077,0.228401182306543
"hsa-miR-106b-5p",0.19894125783892,0.58898424248949,0.999411333975935,7.26475717474826,0.547375566709639
"hsa-miR-107",0.166324471654403,0.550024452460155,0.999411333975935,7.8308455640925,0.605945551149963
"hsa-miR-10a-5p",-0.0851412960881541,0.787211461938702,0.999411333975935,4.95440294061444,-0.272853628664383
"hsa-miR-10b-5p",0.276921234720038,0.414841430193295,0.999411333975935,4.82416925590934,0.829223384169791
"hsa-miR-1178-3p",0.373680463769496,0.304097104204125,0.999411333975935,4.65508621378563,1.04930327975693
"hsa-miR-1180-3p",-0.162666488718214,0.576614449550702,0.999411333975935,4.3519097488536,-0.56575392920392
"hsa-miR-1183",0.198670994452683,0.575480636337181,0.999411333975935,4.53966135807239,0.567448251084632
"hsa-miR-1185-1-3p",-0.22126894092457,0.572969774255457,0.999411333975935,4.80082112853337,-0.571206347167567
"hsa-miR-1185-2-3p",-0.0865325604040752,0.794867380108268,0.999411333975935,5.22200923649473,-0.262793895352484
"hsa-miR-1185-5p",-0.423112349886154,0.202505981812486,0.999411333975935,4.53252203863562,-1.30887190219182
"hsa-miR-1193",-0.118229478123588,0.690171318217085,0.999411333975935,5.08084002459266,-0.403288580752438
"hsa-miR-1197",-0.0534312954540397,0.887451701473014,0.999411333975935,5.5438433106851,-0.142983526203773
"hsa-miR-1200",0.269656613369886,0.520829320656168,0.999411333975935,4.60207932156744,0.651265227478366
"hsa-miR-1202",-0.0863865480091679,0.741809478560226,0.999411333975935,5.1895449361384,-0.333143362977841
"hsa-miR-1203",-0.136096153519737,0.616000578118126,0.999411333975935,5.04811990173078,-0.507876822930257
"hsa-miR-1204",-0.0956852197857301,0.781256824261115,0.999411333975935,3.81629893213569,-0.280697701881017
"hsa-miR-1205",0.127453881813803,0.705752785659916,0.999411333975935,4.59329447246281,0.381922186312601
"hsa-miR-1206",0.0440016069065798,0.904007609962361,0.999411333975935,5.94022482913502,0.121832571615012
"hsa-miR-122-5p",-0.0511999041567821,0.96155912088599,0.999411333975935,2.60673847311768,-0.0486835470152008
"hsa-miR-1224-3p",-0.0437142193631788,0.89669892356177,0.999411333975935,4.24294837823787,-0.131162198047743
"hsa-miR-1224-5p",-0.462244825910743,0.197890675641458,0.999411333975935,3.9073250258138,-1.32282552144172
"hsa-miR-1226-3p",0.491829994896816,0.105047974950862,0.999411333975935,4.81459836244826,1.68198609217934
"hsa-miR-1228-3p",0.0282473281170814,0.932695364511481,0.999411333975935,4.87153815668368,0.0853106136701683
"hsa-miR-1233-3p",0.0544339075343934,0.890034680083981,0.999411333975935,3.88943758026832,0.139679518962608
"hsa-miR-1234-3p",0.0592792451858779,0.84305939747716,0.999411333975935,5.02536945337639,0.200054824557428
"hsa-miR-1236-3p",0.0784984851969464,0.806153016670164,0.999411333975935,5.20056132244164,0.248014601465291
"hsa-miR-124-3p",0.295656256397474,0.363523115903094,0.999411333975935,3.98555821079847,0.925595787577064
"hsa-miR-1244",0.1728248158426,0.609383199230682,0.999411333975935,4.0911441076432,0.517474120291166
"hsa-miR-1245a",-0.0174292868972667,0.959857681290653,0.999411333975935,4.26392193658051,-0.0508402302590203
"hsa-miR-1245b-3p",0.151919943222609,0.674719808355387,0.999411333975935,4.12966294120207,0.424666316603222
"hsa-miR-1245b-5p",-0.0234370579185867,0.930966331129109,0.999411333975935,5.29542611950316,-0.0875079677913703
"hsa-miR-1246",-0.0511999041567821,0.798711275543806,0.999411333975935,1.14324629527076,-0.25775353657979
"hsa-miR-1247-5p",0.39681233511936,0.339880271316961,0.999411333975935,3.13016209845526,0.973026130528382
"hsa-miR-1248",-0.148864543794219,0.638423811049267,0.999411333975935,4.34194779798455,-0.47570441293337
"hsa-miR-1249-3p",-0.0298406335167352,0.910794890720226,0.999411333975935,4.69068558542894,-0.113178404272658
"hsa-miR-1249-5p",0.0597260698446247,0.8463963045918,0.999411333975935,4.04955571307221,0.195743673237833
"hsa-miR-1250-5p",-0.152314200093384,0.639598224114398,0.999411333975935,4.28458794442446,-0.474033583556794
"hsa-miR-1252-5p",0.259517513648216,0.456626658193254,0.999411333975935,4.38122157370434,0.756172723517977
"hsa-miR-1253",-0.0511999041567821,0.798711275543806,0.999411333975935,1.14324629527076,-0.25775353657979
"hsa-miR-1254",-0.224607167940347,0.519769864989123,0.999411333975935,4.42213238698164,-0.652935254998896
"hsa-miR-1255a",-0.280744433073032,0.448255717078132,0.999411333975935,5.32420085590396,-0.770470457440387
"hsa-miR-1255b-5p",0.198835124819173,0.51225511252571,0.999411333975935,4.21680564211505,0.664834837922115
"hsa-miR-1257",-0.191036441705609,0.532703666070983,0.999411333975935,5.02466991470236,-0.632672555818964
"hsa-miR-1258",0.0834339016785233,0.802369652766483,0.999411333975935,5.30264042133041,0.252962743623668
"hsa-miR-125a-3p",0.0404784738797579,0.888182158337569,0.999411333975935,5.0163258459718,0.142049002202257
