"miRNA","logFC","P.Value","adj.P.Val","AveExpr","t"
"hsa-let-7a-5p",-0.0761237801299028,0.791748768332668,0.976129963629743,12.9931576552421,-0.266888304482576
"hsa-let-7b-5p",0.0678192973755074,0.81267072757306,0.976129963629743,10.4186346135685,0.239504971007848
"hsa-let-7c-5p",-0.00453902399273076,0.986777133576768,0.991748303015441,6.2865146198536,-0.0167400678684943
"hsa-let-7d-5p",-0.0213343976315308,0.939231107019456,0.991748303015441,9.41879732988584,-0.0770083947639398
"hsa-let-7e-5p",0.253772863181513,0.38350912462392,0.919885363810611,4.59810383884375,0.887076799463559
"hsa-let-7f-5p",0.212759056077775,0.488993992943759,0.919885363810611,8.47799239892656,0.702298431503108
"hsa-let-7g-5p",-0.206179767456529,0.565980292961038,0.919885363810611,11.3153871571204,-0.581711748870836
"hsa-let-7i-5p",0.19850548765249,0.595665417717934,0.919885363810611,10.0205073966297,0.53752790346309
"hsa-miR-1-3p",-0.662152934110989,0.068251834992805,0.919885363810611,4.0585683542552,-1.90586553801041
"hsa-miR-1-5p",-0.00792001298923406,0.982165548807445,0.991748303015441,5.00703048158104,-0.0225792044785315
"hsa-miR-100-5p",-0.168066829166282,0.560523018354833,0.919885363810611,4.9251372214781,-0.589960185150761
"hsa-miR-101-3p",0.0205160568867395,0.944956775977754,0.991748303015441,4.74760198185242,0.0697397486687221
"hsa-miR-103a-3p",-0.0453308940402746,0.870445406644037,0.990655101645292,5.07839720902002,-0.164779405988321
"hsa-miR-105-5p",-0.125182032925381,0.659411022512237,0.948640213320057,4.64207848295392,-0.446046077051017
"hsa-miR-106a-5p+hsa-miR-17-5p",0.0648350667111703,0.813441636358119,0.976129963629743,8.57897528636077,0.238499661379303
"hsa-miR-106b-5p",0.346240075006144,0.349901429589633,0.919885363810611,7.26475717474826,0.952659892336314
"hsa-miR-107",0.179496435719909,0.519137442066304,0.919885363810611,7.8308455640925,0.653933035769696
"hsa-miR-10a-5p",-0.281464274192843,0.375675978619021,0.919885363810611,4.95440294061444,-0.902012913608785
"hsa-miR-10b-5p",0.135988578184381,0.687326931980207,0.948640213320057,4.82416925590934,0.407209324790472
"hsa-miR-1178-3p",-0.110996333949407,0.757873211420655,0.964816059500313,4.65508621378563,-0.311680241667523
"hsa-miR-1180-3p",-0.423688505579235,0.153098439270026,0.919885363810611,4.3519097488536,-1.47358831360297
"hsa-miR-1183",-0.224582890321984,0.527074484818842,0.919885363810611,4.53966135807239,-0.641458350212736
"hsa-miR-1185-1-3p",-0.413002644192952,0.296557072450754,0.919885363810611,4.80082112853337,-1.06616740141773
"hsa-miR-1185-2-3p",-0.461060015381476,0.173763954197043,0.919885363810611,5.22200923649473,-1.40021001190285
"hsa-miR-1185-5p",-0.402394312556031,0.224778023610056,0.919885363810611,4.53252203863562,-1.24478193427371
"hsa-miR-1193",0.112419048503996,0.70462039416134,0.950361088564466,5.08084002459266,0.383468820468986
"hsa-miR-1197",-0.57889839158513,0.133939214662948,0.919885363810611,5.5438433106851,-1.54914704274265
"hsa-miR-1200",0.0772812514957906,0.853446831831242,0.985160175988226,4.60207932156744,0.18664697745121
"hsa-miR-1202",-0.141472946946194,0.590199707896745,0.919885363810611,5.1895449361384,-0.545580005246174
"hsa-miR-1203",-0.262076452220321,0.337460984751236,0.919885363810611,5.04811990173078,-0.978003804488034
"hsa-miR-1204",-0.31112259521086,0.37013870186213,0.919885363810611,3.81629893213569,-0.912694747156453
"hsa-miR-1205",0.100635659691718,0.765486731344379,0.964828071643464,4.59329447246281,0.301559988785757
"hsa-miR-1206",-0.0955726314117022,0.793473377339022,0.976129963629743,5.94022482913502,-0.264623505355668
"hsa-miR-122-5p",2.62359034789679,0.0195920484593117,0.919885363810611,2.60673847311768,2.49464693643457
"hsa-miR-1224-3p",-0.18244592332762,0.588954638578125,0.919885363810611,4.24294837823787,-0.547419322067486
"hsa-miR-1224-5p",-0.381933343431359,0.28483765690353,0.919885363810611,3.9073250258138,-1.09299476351116
"hsa-miR-1226-3p",-0.168922378524159,0.56865115983963,0.919885363810611,4.81459836244826,-0.577689637239587
"hsa-miR-1228-3p",-0.200802072609233,0.549695849557281,0.919885363810611,4.87153815668368,-0.606448438929569
"hsa-miR-1233-3p",-0.0500324705911317,0.898873391809322,0.991748303015441,3.88943758026832,-0.128385260974779
"hsa-miR-1234-3p",-0.164522518657034,0.58368286045943,0.919885363810611,5.02536945337639,-0.555228453103183
"hsa-miR-1236-3p",-0.218932704834613,0.495504054004659,0.919885363810611,5.20056132244164,-0.69171408086467
"hsa-miR-124-3p",-0.219356561120105,0.498587588785046,0.919885363810611,3.98555821079847,-0.686728268240004
"hsa-miR-1244",0.00993983261366793,0.9764936923342,0.991748303015441,4.0911441076432,0.0297619651004505
"hsa-miR-1245a",-0.241976041280799,0.486832629326865,0.919885363810611,4.26392193658051,-0.705830234386194
"hsa-miR-1245b-3p",-0.0829339512978846,0.818562746264641,0.97800867389746,4.12966294120207,-0.231827730263279
"hsa-miR-1245b-5p",-0.625092374129249,0.0279529530597388,0.919885363810611,5.29542611950316,-2.33393472559341
"hsa-miR-1246",-0.0793207851983406,0.693054190934327,0.948640213320057,1.14324629527076,-0.399321312136673
"hsa-miR-1247-5p",-0.121190402827818,0.768795541116626,0.96597217038876,3.13016209845526,-0.297171781933787
"hsa-miR-1248",-0.544368536480061,0.0942613880612469,0.919885363810611,4.34194779798455,-1.73955804696928
"hsa-miR-1249-3p",-0.0350992989386194,0.895163811480323,0.991748303015441,4.69068558542894,-0.133123267732707
"hsa-miR-1249-5p",-0.338937085410955,0.277237668821012,0.919885363810611,4.04955571307221,-1.11081794377998
"hsa-miR-1250-5p",-0.425721485532293,0.1972003877187,0.919885363810611,4.28458794442446,-1.32493412472551
