"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant"
"ENSG00000141574",6515.10589632731,1.35341358878059,0.150081992806462,1.87568533682426e-20,3.68241942394273e-18,TRUE
"ENSG00000106605",257.120850101994,1.23044350189485,0.137629711781592,2.1230820425797e-20,4.11022785993312e-18,TRUE
"ENSG00000162654",1776.1735846845,1.41522582712427,0.157254657196617,2.15381859038827e-20,4.11261333307152e-18,TRUE
"ENSG00000162772",59.9242068389467,2.58392737957578,0.291133000926914,2.46809617366273e-20,4.64902602225471e-18,TRUE
"ENSG00000166002",122.388017726049,1.2867582591265,0.144328071810147,2.82161378284524e-20,5.24406326921064e-18,TRUE
"ENSG00000132274",4978.24458882384,1.20812440157431,0.135609706651737,4.72032789878242e-20,8.65745402383265e-18,TRUE
"ENSG00000025708",5924.25153607362,1.33135203749904,0.15074787163037,1.32034542047941e-19,2.32965757165349e-17,TRUE
"ENSG00000169228",168.016672328959,1.06789539561334,0.122180786732855,1.41832722502993e-19,2.47125789871152e-17,TRUE
"ENSG00000204397",167.862433767562,1.53146737387757,0.176007244649181,1.60564917653809e-19,2.72940778923957e-17,TRUE
"ENSG00000162512",129.036531329928,1.87983628166452,0.216194570414303,1.7092498326779e-19,2.83633731163063e-17,TRUE
"ENSG00000133106",1133.95633717943,1.96075925161243,0.225652947937492,1.80913683141435e-19,2.96677156389231e-17,TRUE
"ENSG00000130489",358.232448060541,1.67852597328787,0.193553665208516,2.03672190810308e-19,3.30114728802894e-17,TRUE
"ENSG00000075399",710.111677971386,1.11681908897516,0.129603220048916,4.58695788748931e-19,7.26563704474017e-17,TRUE
"ENSG00000188313",995.053600602231,1.49599700167556,0.174363940772489,5.758974201025e-19,9.01958892000983e-17,TRUE
"ENSG00000146425",497.664637054516,1.04941682902768,0.12231185484774,6.73310928499013e-19,1.03134956399426e-16,TRUE
"ENSG00000137757",195.983918059652,1.83726025009866,0.217219115445334,1.2020978115475e-18,1.82130884730007e-16,TRUE
"ENSG00000121797",77.1465340574273,1.43764800575609,0.170007134670709,1.30563309055313e-18,1.95690533862581e-16,TRUE
"ENSG00000073737",430.807010852013,1.40371925042557,0.166042282096253,1.54973644015906e-18,2.2980613020614e-16,TRUE
"ENSG00000166278",46.1463037079886,2.08625691070565,0.248910849212133,1.87682890387822e-18,2.72511646782901e-16,TRUE
"ENSG00000198814",621.70152993456,1.1869617309092,0.142754802620268,5.90049767664047e-18,8.22470371146915e-16,TRUE
"ENSG00000130066",4191.47612947644,1.05028106384271,0.125672863039335,6.71187715748174e-18,9.26305501961762e-16,TRUE
"ENSG00000121858",2905.16966954633,1.3702812785403,0.165608575159148,9.20917783850994e-18,1.25849735187245e-15,TRUE
"ENSG00000272821",145.656682352702,1.42744989223167,0.173645316657051,1.15628378139068e-17,1.56479996396162e-15,TRUE
"ENSG00000179044",51.2482043634347,2.49051888609153,0.305505080890154,1.23175373341002e-17,1.65090531634637e-15,TRUE
"ENSG00000163220",27133.7986720668,1.46754662997418,0.176590565242122,2.181353860567e-17,2.81536032059661e-15,TRUE
"ENSG00000177409",2269.39790898286,1.26919184273852,0.155444729544698,3.24579234163574e-17,4.07595490541086e-15,TRUE
"ENSG00000198216",203.331497018723,1.48671417659507,0.183628946371,3.29536250392121e-17,4.10125517340694e-15,TRUE
"ENSG00000185339",185.032495602717,1.5841010819523,0.196707899148131,4.19791697375691e-17,5.1328740962454e-15,TRUE
"ENSG00000185507",2054.37974560123,1.56185762321628,0.193674264098626,4.84120421404578e-17,5.81737461548139e-15,TRUE
"ENSG00000170581",3899.72808770593,1.04919451463853,0.128349636843982,5.09577230091798e-17,6.07093761559792e-15,TRUE
"ENSG00000130303",1218.73714058997,1.34163896865768,0.16791870269793,8.25900127175482e-17,9.28404989733793e-15,TRUE
"ENSG00000123610",384.2530348492,1.86942226887207,0.235719706490496,9.86013442027557e-17,1.09952330947377e-14,TRUE
"ENSG00000138772",511.586999731101,1.42126096631239,0.178584652048869,1.11551022990638e-16,1.23405532497341e-14,TRUE
"ENSG00000117226",369.472892883969,1.23554113857846,0.155756772275025,1.3220803438577e-16,1.45106125299468e-14,TRUE
"ENSG00000157551",3696.04456439047,1.13021352985443,0.142477976778986,1.39511511730696e-16,1.51925856407357e-14,TRUE
"ENSG00000119686",116.971947613286,1.03890462565121,0.131250522787914,1.66157042790159e-16,1.76798703774964e-14,TRUE
"ENSG00000113368",848.952275507225,1.05448000330719,0.133483486226662,1.9635149234678e-16,2.04461789810404e-14,TRUE
"ENSG00000180061",134.186225312305,1.18794494993765,0.150614598200649,1.96555562340155e-16,2.04461789810404e-14,TRUE
"ENSG00000038945",85.8893416786632,1.85782604150818,0.236987740401563,2.21840421112795e-16,2.27370119844945e-14,TRUE
"ENSG00000002549",1199.23590338797,1.53966503209223,0.196734479906621,2.70791594236603e-16,2.75515622778395e-14,TRUE
"ENSG00000224067",21.1763244980247,1.68781255561054,0.218619779025252,4.29204152600729e-16,4.15463658548719e-14,TRUE
"ENSG00000203666",114.702751575979,1.66141122684129,0.214962067890955,4.78230485777274e-16,4.53473111649621e-14,TRUE
"ENSG00000023171",291.172894187942,1.05943356619119,0.136457149985828,5.67995239141101e-16,5.27819042559187e-14,TRUE
"ENSG00000137965",724.944688602685,2.32683435807105,0.30221616488984,6.18999530958518e-16,5.67647004080973e-14,TRUE
"ENSG00000112053",251.890605493931,1.38638720774649,0.179211549353662,6.7769119510936e-16,6.17407684224142e-14,TRUE
"ENSG00000205220",852.784265565426,1.04023912063253,0.136843532334501,2.02840747381587e-15,1.72402266936094e-13,TRUE
"ENSG00000255328",79.7591469125256,2.14299487181035,0.286353574752135,3.02616499837398e-15,2.49595940309674e-13,TRUE
"ENSG00000173193",5445.01661767917,1.0790610521142,0.14194141905237,4.03761251135997e-15,3.27210934859573e-13,TRUE
"ENSG00000174944",339.459196359785,1.75231817001191,0.234841059450056,4.18841605995795e-15,3.35530640573298e-13,TRUE
"ENSG00000124256",1033.93415449725,1.23120530225762,0.165388873607207,6.56513599141275e-15,5.02810058155507e-13,TRUE
"ENSG00000148450",152.045832338965,1.17931772083257,0.159177531101234,7.08922945950615e-15,5.39982346645116e-13,TRUE
"ENSG00000271605",106.610087794921,1.11001986639442,0.149590412712207,7.42430821357761e-15,5.59391525346261e-13,TRUE
