"","GSM3137414","GSM3137423","GSM3137426","GSM3137430","GSM3137432","GSM3137433","GSM3137434","GSM3137439","GSM3137440","GSM3137448","GSM3137449","GSM3137451","GSM3137454","GSM3137456","GSM3137461","GSM3137462","GSM3137465","GSM3137467","GSM3137469","GSM3137473","GSM3137475","GSM3137477","GSM3137479","GSM3137480","GSM3137487","GSM3137489","GSM3137494","GSM3137502","GSM3137503","GSM3137504","GSM3137508","GSM3137512","GSM3137516","GSM3137518","GSM3137519","GSM3137529","GSM3137532","GSM3137536","GSM3137539","GSM3137540","GSM3137542","GSM3137544","GSM3137549","GSM3137550","GSM3137553","GSM3137557","GSM3137558","GSM3137560","GSM3137567","GSM3137568","GSM3137570","GSM3137577","GSM3137579","GSM3137581","GSM3137584","GSM3137585","GSM3137587","GSM3137588","GSM3137590","GSM3137603","GSM3137610","GSM3137613","GSM3137617","GSM3137618","GSM3137623","GSM3137624","GSM3137626","GSM3137635","GSM3137636","GSM3137638","GSM3137641","GSM3137644","GSM3137645","GSM3137646","GSM3137647","GSM3137648","GSM3137651","GSM3137652","GSM3137655","GSM3137657","GSM3137658","GSM3137660"
"GSM3137414",1,0.975935304628555,0.962410763617684,0.964421419157928,0.945539990351055,0.962547078966536,0.969252714021705,0.951955616926887,0.938253699855149,0.924292026517834,0.955376903333946,0.96587603392485,0.946730474304998,0.951836151753064,0.954324873533057,0.96899676108413,0.95800336162905,0.959885592434976,0.957495227067865,0.954211753832845,0.928479759847447,0.9661469192443,0.955205977006047,0.960807107550806,0.903669936977383,0.966191670119176,0.951823481368651,0.946116159519086,0.927638009885666,0.919393606414001,0.941793299322539,0.948197888364615,0.951996301083118,0.964586952370586,0.946407834957718,0.93451169612463,0.972022504648699,0.961324151115436,0.94789988444436,0.966481418938805,0.960017806975798,0.953151120087441,0.975373969881277,0.951787220045579,0.932446531274305,0.938254564807494,0.951463163956859,0.947509702480187,0.96085043431287,0.963946345386372,0.949879308252697,0.940395728899441,0.951885700468993,0.962422306094153,0.962516313460617,0.925384321122829,0.918287709923345,0.953448594324781,0.959881181252209,0.958041739907032,0.957579552485753,0.950527548739803,0.95352858699133,0.942925075902602,0.950401037329523,0.961521510668024,0.926363613337902,0.971417002951583,0.927035113592697,0.959765831579851,0.945797312733502,0.929827040727657,0.940638016906886,0.946397907056752,0.92625056399507,0.925542222559427,0.89535822458675,0.901095282744298,0.966169555051708,0.945488782984611,0.958329829211781,0.96413159182922
"GSM3137423",0.975935304628555,1,0.972335145450624,0.967457483745637,0.938758179464447,0.967448790408012,0.980360296001444,0.951342766634648,0.938161181897582,0.929095985956885,0.962711769254143,0.971313258566054,0.954290984549872,0.957306778070033,0.954893924522942,0.970896944654307,0.960720539355872,0.970722982372431,0.963808545353708,0.960395645432164,0.92820848787507,0.96902315831392,0.950932213001391,0.964001488627891,0.895668924134129,0.974180261948358,0.960895620539342,0.949937692540797,0.939130695779431,0.932261078442562,0.956237436229924,0.950190877148414,0.962002950914044,0.972403575474361,0.955054438646795,0.941489990008236,0.975079031439718,0.969951953412985,0.949840162443398,0.973796810762373,0.973000516088464,0.957505900519597,0.978508162328172,0.959424471631699,0.946867061963432,0.943328437270789,0.952513141412023,0.955543394645583,0.964662537534006,0.966719935592729,0.958896957610825,0.951823478978626,0.957411936132422,0.973504017019761,0.968169677774846,0.923255697431939,0.926321678304457,0.960024948525837,0.964465326390997,0.955551866403147,0.965400085462059,0.957062387713545,0.955933984585435,0.948577225248737,0.955405898134498,0.966178356542662,0.936520457581723,0.97340002202313,0.934419613889806,0.957570962813209,0.944116178528858,0.932804622648091,0.943298947678401,0.948585293817667,0.932910966855338,0.928417706572837,0.88857926070265,0.901280388362544,0.959971981078186,0.952719366641914,0.96876974782537,0.972905960793341
"GSM3137426",0.962410763617684,0.972335145450624,1,0.965372370470557,0.94272369604478,0.956673602064867,0.956651896481121,0.929363040887331,0.939149512210132,0.903464904215134,0.953770601948833,0.960228519651047,0.933766337417539,0.937894942872048,0.935213538381074,0.956961479813375,0.936001322102095,0.964755789185748,0.952577488701184,0.959797683210799,0.914709016769349,0.960707455552661,0.94081836895933,0.948483404299133,0.90883153495846,0.960974640062192,0.942520115441041,0.921176503408709,0.9121071784329,0.906375653741988,0.942424159246496,0.928430887795259,0.935709712501596,0.958902211658189,0.952930391427812,0.930270592965979,0.967526117958591,0.965290321880456,0.932197285296634,0.960790491093775,0.954575306768271,0.949917739962948,0.974012153797348,0.951871471482205,0.931401746641364,0.920071361087606,0.964778541477296,0.956170515950212,0.946246357257451,0.9721171630948,0.937075594466232,0.948961845195955,0.940254488811787,0.956649344601588,0.965675603062804,0.931042546858228,0.913804509922937,0.951848143934003,0.962319882379447,0.929503645547554,0.968796256287588,0.963601505629645,0.956308373467448,0.94803455445504,0.956757106259156,0.9657223361362,0.929960882960005,0.959254085697127,0.944792105411662,0.956091493864325,0.945744414829272,0.933733190376899,0.958578333429049,0.957838295428814,0.924188704786726,0.941635892235814,0.898028230846563,0.909185025822603,0.966931579394131,0.930074517423897,0.949921549583237,0.962304987746091
"GSM3137430",0.964421419157928,0.967457483745637,0.965372370470557,1,0.961490101292201,0.961180938450784,0.955706178009203,0.92433134047211,0.949818011339709,0.90524573449236,0.961373929467941,0.957835785012558,0.947305982705495,0.954514232627894,0.953299080532167,0.954856656652837,0.936642874154109,0.954307774938146,0.952440946054118,0.961993234966709,0.932568799710983,0.96847365636121,0.955683626764332,0.957029710427902,0.932943870761989,0.962848020071156,0.951212330398551,0.934777761746741,0.938078813573702,0.931357807960859,0.952633622306812,0.947240232347979,0.944180399403753,0.957591418320536,0.951475704627167,0.946411883645472,0.961462761334584,0.968597607263884,0.933764421234694,0.961120428815052,0.950496314974914,0.951431064199075,0.972621570989322,0.933176265314572,0.944482884345122,0.943942462061956,0.968712040284205,0.951647562760067,0.952780805351444,0.972727461167858,0.945709575253134,0.944131670813743,0.957049928578901,0.959683933205095,0.966915137837207,0.949948107955344,0.933314722756792,0.954320930402659,0.971107576571496,0.947408214518312,0.967664773268156,0.967777664559444,0.966757911598371,0.958625832973324,0.950896041642243,0.96960864003869,0.939458615280338,0.96215236487725,0.952606962432921,0.966391445406111,0.964177397565459,0.956379028978054,0.967109833214506,0.958100860754647,0.940521881013916,0.952294846485685,0.918209041136899,0.921570931696781,0.968352229825102,0.944367385507937,0.955736267906867,0.967883940961773
"GSM3137432",0.945539990351055,0.938758179464447,0.94272369604478,0.961490101292201,1,0.933296228128934,0.923137054070769,0.904218964910738,0.944684964472528,0.887374451621256,0.934379642160005,0.933065551778941,0.932588254111941,0.936128161364017,0.9387126585817,0.933070821481922,0.924636815597731,0.920429066583581,0.930817290540033,0.944957722842518,0.93049714235967,0.952340909817586,0.942394651993961,0.931569888038227,0.961904279349447,0.934557138652893,0.937905029671556,0.91387037033981,0.92201766385282,0.921913548499505,0.930343059071172,0.935090810013751,0.919638935468953,0.92987754160962,0.930716282026325,0.936013116779484,0.93350415674007,0.955123171077364,0.914833266875607,0.942973073200918,0.914774830223302,0.932682823258119,0.950054055450737,0.905278945177857,0.919129773298154,0.936186842753539,0.961585681843225,0.925609822798095,0.929240585533663,0.955856173707356,0.928225214555096,0.909231521194519,0.943566608077959,0.933795150058385,0.941503818197945,0.960323560954678,0.917655636059048,0.943523367533299,0.956078134436127,0.931863281367577,0.946659301541801,0.961194644486079,0.969117700113635,0.95080020443309,0.942235620921118,0.950647342946677,0.925957586887245,0.953784534649948,0.950043440855789,0.946328885049033,0.973454540622521,0.954533910963727,0.961242128292208,0.943725144581185,0.919890398009158,0.95913473593989,0.937310788505401,0.94250476951545,0.96262293913845,0.919312878765335,0.931502923122467,0.943634487527149
"GSM3137433",0.962547078966536,0.967448790408012,0.956673602064867,0.961180938450784,0.933296228128934,1,0.961542217689156,0.956986685540346,0.947780825834313,0.948685012243021,0.9469543698299,0.980514042998879,0.969427282509471,0.974669341655334,0.967910272976214,0.954309196115343,0.961037759934846,0.96050234399115,0.979920822726362,0.965153513307778,0.940544542383472,0.97723689331126,0.961144704718662,0.975946276276984,0.902284788629095,0.96327063011626,0.974130041274326,0.968553612466043,0.955562380794733,0.950431374354977,0.971058260957197,0.965739383503349,0.97386106602184,0.970188870940193,0.962070367633557,0.954096765269687,0.975952774253743,0.967182061684317,0.970961709403449,0.973788448143983,0.96328301435637,0.965531584689795,0.969029845866702,0.963442296495232,0.962032332020685,0.961466428398244,0.948122215873423,0.945294089661666,0.975694823045316,0.953050785329065,0.972113950159854,0.9227632292904,0.971639904989965,0.979065612536183,0.965356608118408,0.917691763239799,0.948214043479215,0.97566778213866,0.973854457487315,0.968331942311258,0.957369306400499,0.951403568382123,0.952816702524066,0.953401522994272,0.947241993599582,0.947049591314653,0.958031666618454,0.97061040874013,0.946279738856839,0.968260022956977,0.940015117135561,0.945316962542407,0.944978014010756,0.962334692965866,0.947752591388957,0.910333045041291,0.864053177761129,0.891950722911115,0.952086906198079,0.973791930788285,0.973779228827803,0.963868436979281
"GSM3137434",0.969252714021705,0.980360296001444,0.956651896481121,0.955706178009203,0.923137054070769,0.961542217689156,1,0.954713631595384,0.926179337964439,0.929203019490867,0.959230276087722,0.966582709096916,0.951261909453137,0.952917441570422,0.954873396501395,0.972858703735751,0.959721238193718,0.968798536524516,0.958855850674647,0.946151422714198,0.917937050810344,0.957483856146033,0.951517703907425,0.958045074714089,0.877571691828712,0.969190961081304,0.956886099361808,0.955028848853911,0.944131061011858,0.930670189723679,0.947438594937908,0.950733789985357,0.963736818945783,0.972300221492877,0.94005131610294,0.933130817124002,0.968651849663992,0.962170366014143,0.947600757724543,0.963875914165364,0.978516620327277,0.953259566374176,0.969527739062107,0.947815332252198,0.944228871549647,0.940694524044853,0.938908277767687,0.943895237828752,0.963850036289753,0.951008849762397,0.956102645946745,0.949495654364355,0.952568170056624,0.970234300588259,0.958120457033082,0.909432413398176,0.919458230688955,0.951836364359038,0.953001929719163,0.95940066448014,0.950017235644759,0.938158287506368,0.941880684318974,0.931579362762064,0.937903369816908,0.953980578013695,0.923917333244811,0.969413520276059,0.917342692547058,0.944391092425151,0.932250141418577,0.922361884874944,0.923080374727269,0.931819638815411,0.927037999110883,0.914541535258478,0.873333048466288,0.881113490562591,0.945567184522319,0.956553829611154,0.967471190871936,0.972341373110353
"GSM3137439",0.951955616926887,0.951342766634648,0.929363040887331,0.92433134047211,0.904218964910738,0.956986685540346,0.954713631595384,1,0.922248169291068,0.963226945294734,0.922079450384964,0.967786139857272,0.952887997214073,0.950647294567223,0.953034813716846,0.949609071324291,0.968392169427031,0.95232948879612,0.959581492781393,0.932789157788369,0.916351962997974,0.944019855996384,0.949114036955127,0.951408211374726,0.859689161923207,0.941328316623654,0.951452567641875,0.968376692475595,0.937186083369253,0.933013237930102,0.939659255253569,0.947603802424482,0.957788377173435,0.963293863931971,0.931727585000651,0.929789103894042,0.95890204433235,0.94502060142821,0.968501564239453,0.943987987461254,0.96063611462059,0.953647321598314,0.952841724190208,0.937109794810746,0.938319395962095,0.940897282581532,0.913645137911035,0.921745715285457,0.970975798881036,0.923829092356597,0.955250668601827,0.898725621784777,0.943617192516045,0.952448334317267,0.94333779243136,0.879005573552349,0.924749196721237,0.957929592569821,0.945298914004434,0.968001709197887,0.929688471152416,0.914374243896405,0.930446805676428,0.919772538079682,0.91510583910557,0.925331885384166,0.930647590338307,0.955770588990066,0.910551067694042,0.939408023212319,0.900743199507983,0.911567289971667,0.903893447956122,0.925058777011994,0.922206289545386,0.873370010442115,0.83105309102356,0.864244859513336,0.922298049891764,0.963381398416453,0.955356125917991,0.950081185652652
"GSM3137440",0.938253699855149,0.938161181897582,0.939149512210132,0.949818011339709,0.944684964472528,0.947780825834313,0.926179337964439,0.922248169291068,1,0.921778945997826,0.92545842837511,0.945974893830019,0.944319207410951,0.941052736953269,0.940356504503676,0.931089338714579,0.927100506103174,0.938572598346491,0.946982992640372,0.94834741349502,0.937590255411058,0.94727833580265,0.936688929819672,0.942497985386831,0.921240495679169,0.935873207832855,0.94510043867039,0.933406644912984,0.930911765887004,0.926472575139545,0.935861331398998,0.946982873694988,0.933353874902188,0.937779638589828,0.956918693035955,0.945783156643814,0.94255395010205,0.960197419516936,0.938489604087605,0.942669340496574,0.933520168790455,0.949202593376711,0.946841097984948,0.918063961835616,0.943817454519244,0.935486554588783,0.939970185596205,0.932292199054591,0.946901366886177,0.944435641475052,0.935244393287033,0.911140389396844,0.950568495502385,0.942490388620293,0.948602750917472,0.925995260881186,0.941392652578231,0.953940297745464,0.956197296422081,0.940701038394072,0.941696675107863,0.946862731893552,0.948446507015481,0.950930093760958,0.936208363386426,0.94351577583861,0.945257391692395,0.949626757171623,0.959990391563543,0.951158480568628,0.940140264002217,0.951697421216267,0.947209308932036,0.945645871979046,0.944251429098895,0.930053887049661,0.886063533932706,0.921136312810411,0.940478041068048,0.94567339022568,0.945692644281665,0.94821130371422
"GSM3137448",0.924292026517834,0.929095985956885,0.903464904215134,0.90524573449236,0.887374451621256,0.948685012243021,0.929203019490867,0.963226945294734,0.921778945997826,1,0.895284226237641,0.958007786864131,0.949435870916388,0.9514397403526,0.948765780762046,0.918812179763284,0.95375217258113,0.924842728032351,0.954356691952019,0.924135762941193,0.932130303641029,0.936694978222094,0.934448106829784,0.940647315612227,0.850690232453313,0.918974558606695,0.947093524435938,0.965803764972474,0.940061204039894,0.939873031337407,0.940551834266836,0.94757113872595,0.952232869877239,0.946273283536383,0.935126375923351,0.943504517155411,0.941634776418231,0.931384322581831,0.968060304728753,0.929902060316729,0.940228229680226,0.940203004296233,0.928187052119955,0.928038391527744,0.948520069697807,0.946089376585564,0.892524279969115,0.914406858714185,0.960042569309604,0.900104732129284,0.953622501710266,0.858935672135677,0.93932727186462,0.943422827266127,0.923646101453054,0.864740334753654,0.939100051122184,0.9541502644952,0.934880042351503,0.955935766719286,0.905618567795815,0.899658766892273,0.913572367407323,0.927424047388836,0.896617868628037,0.900158522117282,0.949394756077299,0.94334086912017,0.90558533459852,0.92595937168916,0.882917375770391,0.902639050059265,0.885546567234944,0.918708037820188,0.92976023412597,0.84516009170987,0.81134492842999,0.857729411340877,0.896210904452975,0.961943258407344,0.948010986588414,0.926855407557391
