"","GSM4915422","GSM4915424","GSM4915426","GSM4915427","GSM4915428","GSM4915429","GSM4915430","GSM4915431","GSM4915432","GSM4915433","GSM4915434","GSM4915435","GSM4915436","GSM4915437","GSM4915438","GSM4915440","GSM4915441","GSM4915443","GSM4915444","GSM4915445","GSM4915446","GSM4915448","GSM4915449","GSM4915451","GSM4915452","GSM4915453","GSM4915454","GSM4915455","GSM4915456","GSM4915457","GSM4915458","GSM4915459","GSM4915460","GSM4915461","GSM4915462","GSM4915463","GSM4915465","GSM4915467","GSM4915469","GSM4915470","GSM4915473","GSM4915476","GSM4915477","GSM4915479","GSM4915481","GSM4915483","GSM4915485","GSM4915487","GSM4915489","GSM4915491","GSM4915492","GSM4915494","GSM4915495","GSM4915496","GSM4915497","GSM4915498","GSM4915499","GSM4915500","GSM4915501","GSM4915502","GSM4915503","GSM4915504","GSM4915505","GSM4915506","GSM4915507","GSM4915508","GSM4915509","GSM4915510","GSM4915511","GSM4915512","GSM4915513","GSM4915514","GSM4915515","GSM4915516","GSM4915517","GSM4915518","GSM4915519","GSM4915520","GSM4915521","GSM4915522","GSM4915523","GSM4915524","GSM4915525","GSM4915526","GSM4915527"
"GSM4915422",1,0.959015185297208,0.953101099012863,0.958877732838684,0.961547072585985,0.953651641691106,0.958254438816552,0.960709824658631,0.952444601738364,0.955542336142698,0.955586142448013,0.955596412270001,0.962150347657682,0.964500613404982,0.961885615177769,0.938082981874283,0.878220718261156,0.944174010905168,0.940893196821119,0.963683723733202,0.945544960776083,0.950271379672503,0.94568662779147,0.95365428013306,0.952723234432947,0.95412058575807,0.945368723371106,0.956494899446697,0.956275844023398,0.948105477112409,0.944112950466899,0.948642485290852,0.954734536214664,0.957714806071099,0.954571162046502,0.959090153383895,0.888103197937219,0.958342982002445,0.961908897530029,0.962500626766624,0.937666036345902,0.95719766262775,0.953975868738265,0.956196804837281,0.960709208775633,0.957078884711247,0.960592798174889,0.943796726555807,0.955738158721632,0.944686011356472,0.952013104372813,0.95114720853669,0.946245370586387,0.909878513972017,0.948784872128076,0.955179388876692,0.947625861480335,0.948697721998913,0.94234595345221,0.945171744713876,0.945246343417399,0.934140028326516,0.945099663690596,0.948900669330054,0.949849338576047,0.952661724764072,0.954879719085014,0.948106357028206,0.955656598890234,0.928740837874701,0.950805379840229,0.953139195054966,0.952219150728621,0.949625361808956,0.947024718796691,0.939936354002191,0.946238926725428,0.947554253422678,0.94848527544131,0.940979659403314,0.946886539790632,0.934061265855354,0.925573645139682,0.950993179215385,0.929143533079552
"GSM4915424",0.959015185297208,1,0.958429145190848,0.963068790096488,0.957578838207206,0.947432413814896,0.954544029446307,0.957496333795001,0.950194587138146,0.953421387842407,0.956154402862193,0.949418708523213,0.954851520404943,0.963256107328889,0.956380985260898,0.943973952071276,0.862382934762058,0.946639314614868,0.944322538461405,0.958962722339424,0.946140220393722,0.951044082180628,0.948158061178776,0.952549713592781,0.953304715384368,0.952568427625758,0.940291991258608,0.952046574459296,0.955541516738594,0.94719392348333,0.942881797284988,0.940378204093646,0.955641048376643,0.951889097225643,0.952830277321168,0.955693444844276,0.875173562802764,0.959002812587831,0.958429828916016,0.959337826226071,0.931406764032476,0.951902840040292,0.951412456754471,0.949632153229071,0.95774814363293,0.958683994875267,0.959554574065799,0.945567344816702,0.953835898895558,0.939914007623574,0.948459107222615,0.952487778837862,0.944625547957959,0.907025518309009,0.945559374454744,0.953487645237591,0.942473351014076,0.940759888599209,0.945975829542553,0.939119430618418,0.941344927694296,0.936373578881234,0.944784128943018,0.944030852768739,0.948092513139718,0.948356953408279,0.955570057199204,0.947998374613516,0.949951015169032,0.924043463586036,0.950173717328157,0.951228276261229,0.947590323007957,0.943993950808432,0.946592865754218,0.932520455642035,0.944521432859352,0.949341964497458,0.947929389507721,0.939190411971618,0.94843537533559,0.925308841230317,0.919618536421623,0.94780377702027,0.928741549779599
"GSM4915426",0.953101099012863,0.958429145190848,1,0.959937351279971,0.956470332826811,0.946350668783803,0.949016052834876,0.955606894746265,0.949664256472874,0.950755727954233,0.956533071673267,0.952449757512981,0.953658603089412,0.967300730624308,0.954960460252376,0.940283917383766,0.858238772824764,0.943035824721476,0.937941886506987,0.957758446214165,0.943605805507534,0.943982883495667,0.948965685745932,0.954836102918806,0.948473975605262,0.951221526843582,0.942245594558684,0.949522774011062,0.955005354075399,0.946543477883945,0.940850913000689,0.938116673670072,0.953878629683576,0.952609702047685,0.95513086913133,0.949643948188916,0.8746929882177,0.954331331168915,0.955927440529728,0.958283585276602,0.936777231218823,0.950462521814664,0.945736024309177,0.944234090916781,0.958056958797739,0.954794916692808,0.955875018407172,0.940113918174427,0.953507662242611,0.933131592108262,0.945152740782008,0.948846281857474,0.942780556593906,0.903528695454522,0.944081083771699,0.953383449468872,0.94206332754943,0.940914824980814,0.939837204749707,0.935620704794386,0.941461649820813,0.93790868772372,0.94362757866629,0.943397268286372,0.948102677019367,0.948804924239992,0.956794213553421,0.951610851713504,0.946917164455456,0.922909649638516,0.946766258115484,0.946382994662311,0.947108657209541,0.944130738229543,0.948572198461604,0.936113527711599,0.94796163765843,0.949184730489864,0.944960170513255,0.9422283657145,0.946047089108676,0.928770927626452,0.915359386559627,0.94930002050596,0.933761597172125
"GSM4915427",0.958877732838684,0.963068790096488,0.959937351279971,1,0.963251536664329,0.955385938810283,0.962374159685262,0.966185641040239,0.952892257745647,0.958933504557977,0.961260585342579,0.9556827537201,0.962313036568251,0.96655691271568,0.957988183603238,0.943395106650677,0.86089949008913,0.952454817538561,0.945026264824622,0.960961221864922,0.948972149023736,0.952209442428707,0.950627573016442,0.960411215607217,0.959502421706122,0.962456936233759,0.945234124454093,0.960560984008549,0.962912583863239,0.954739037137422,0.943698317799403,0.949571412579381,0.960337403927617,0.95720473831978,0.95691112079404,0.95382591099407,0.880685804882502,0.960676685324575,0.966921680507187,0.963625204130783,0.933266906796704,0.952869528764333,0.957867255235476,0.951146306962959,0.958542241119977,0.956010310901032,0.960558444871688,0.943190392057552,0.957021830710746,0.940374268324763,0.95320006109731,0.948187497026138,0.94954843580047,0.912000301587155,0.951031011955889,0.959469292722246,0.946944288786112,0.950473681241665,0.951127078323689,0.944736134169805,0.946496877992652,0.941186324569215,0.950960670480241,0.949047071607694,0.953500081985316,0.952162453927611,0.958424415820913,0.953101144172719,0.953768742374466,0.932033667770508,0.952938801132515,0.959633521296744,0.954698721709734,0.952275310944603,0.954211731595074,0.940019841551677,0.949004448969256,0.953354020857771,0.950619318524307,0.943236878597599,0.954918048636796,0.930172986909681,0.926693603000559,0.954022047597084,0.931781206498955
"GSM4915428",0.961547072585985,0.957578838207206,0.956470332826811,0.963251536664329,1,0.95958761684168,0.966593729536538,0.966237403205586,0.954456293314478,0.960235518225511,0.964182791997068,0.957962799433724,0.968403024063465,0.96453771096592,0.963593119144979,0.938503785917023,0.859692856148518,0.948911502629318,0.939453071419724,0.965780119597379,0.950597698679345,0.954087892745817,0.953739826584442,0.962219658083247,0.959505607648583,0.961654166871205,0.953378096546282,0.965821090929947,0.962637629774035,0.956114108606352,0.946753057787919,0.957324101352491,0.962217602902546,0.961890053907615,0.95786228972877,0.956586237489512,0.881469737754988,0.962524363955809,0.968632543165649,0.967737599376103,0.934400799849975,0.95400780507219,0.959406908929838,0.958214119607054,0.962054374178062,0.95377679259323,0.966095377997602,0.9393302478997,0.960769710997815,0.93671219215917,0.954817678428327,0.951201547364727,0.956804657299313,0.905705549930627,0.959214098344521,0.966136012733248,0.953331922251627,0.958449452262776,0.953031434938891,0.953264198675503,0.956358049970927,0.942050414748498,0.952907557924372,0.958422123171287,0.957303291641919,0.959543781555948,0.959473740318543,0.956507332858436,0.963174776058831,0.935805427665477,0.953928780321519,0.960636547005739,0.961858530904715,0.957902457406498,0.952871606312884,0.946096384666446,0.954838707744999,0.954221315556097,0.95199628782351,0.94961961797939,0.95819095679007,0.941380924795781,0.925347192191246,0.952462506105196,0.935603340363061
"GSM4915429",0.953651641691106,0.947432413814896,0.946350668783803,0.955385938810283,0.95958761684168,1,0.963510664338205,0.968358670678268,0.944259805102163,0.959108259811657,0.950348081511734,0.956929319420427,0.960903218487014,0.957660442674851,0.95743646879716,0.929042533438381,0.873055548280218,0.944798418001592,0.934873140529875,0.957628490311274,0.944481357768337,0.944759918088004,0.934777133011565,0.954768432271623,0.955393136789715,0.962298259878382,0.942364581225732,0.973009866303148,0.963648140026818,0.951846354956287,0.937941506955726,0.951651637092497,0.961538449762234,0.952970318802896,0.953257249304892,0.947397745270823,0.897333160853186,0.955889875247554,0.971468852154322,0.956682624489899,0.93005860534298,0.947164633019587,0.959804325906668,0.952513931659662,0.954941203072842,0.943482956789393,0.957431943190398,0.941728779039782,0.947229833175386,0.942493699439148,0.94818007832675,0.939094930114355,0.942493367465706,0.916148931280061,0.949518127913339,0.955862000191206,0.946670652348542,0.951724047977116,0.948139352181574,0.945008227186912,0.948027604922039,0.929713115996265,0.950099268358386,0.948031771248002,0.945718621157239,0.951865821880531,0.948651599112126,0.94727502448389,0.95360574360437,0.93942820071849,0.952739558324739,0.95566359389253,0.956924814833178,0.94879492506161,0.955180395582118,0.946419420616832,0.94995057294661,0.954463043422063,0.946603035887583,0.939947902696156,0.95001861856065,0.937788802164393,0.933072954378953,0.95869454161295,0.938484835095308
"GSM4915430",0.958254438816552,0.954544029446307,0.949016052834876,0.962374159685262,0.966593729536538,0.963510664338205,1,0.969193637462625,0.948100762602476,0.960945803561032,0.961091109193973,0.959078823357978,0.963784845558203,0.961954450305034,0.963130910758453,0.937975226736283,0.874853665700965,0.950915599303476,0.941994647828831,0.960818964120561,0.946208843417598,0.950216439411676,0.946583361092551,0.957619088974367,0.96017831282957,0.964459878398398,0.942472317304619,0.966209477680546,0.966517386311083,0.958552927699357,0.941582474561857,0.956380299220891,0.96052708320599,0.955283282873325,0.957409622224951,0.955542421451482,0.894935058227786,0.958570046585348,0.972212706158938,0.96397497495918,0.927157751599223,0.950377825513737,0.960418191271244,0.95521168402958,0.953555910357964,0.948482675127336,0.961613830780383,0.942495632514135,0.954338266988896,0.94395861418948,0.952780353777468,0.943195753823919,0.954994719624682,0.919072169922977,0.956311380008921,0.963430986202238,0.946607754419895,0.959258899729077,0.958258468799856,0.95211821860597,0.954403180348092,0.94166297364179,0.958287977530487,0.958007028331509,0.957835787628945,0.954411676292867,0.956467642012664,0.95486951089923,0.958180168050624,0.94154988241637,0.952746828232443,0.963119936310476,0.9587569093804,0.959284014456396,0.961482255108471,0.944446578647677,0.951629802561143,0.954347918930809,0.948944631593562,0.94488395188917,0.959363973027848,0.939291929797909,0.940118371550435,0.957755622527743,0.937445273234237
"GSM4915431",0.960709824658631,0.957496333795001,0.955606894746265,0.966185641040239,0.966237403205586,0.968358670678268,0.969193637462625,1,0.952916356949459,0.962666909292192,0.961677244430396,0.96242817637643,0.967352760338094,0.967495318129442,0.962517901057173,0.941673408570543,0.874060254524086,0.95486989169125,0.946409039911917,0.964276531312858,0.951575225583516,0.954305920957286,0.94636450443436,0.961375149763451,0.96261349978666,0.967458829568473,0.94661503840873,0.971695411047344,0.96881745634096,0.95972872629984,0.94612263310542,0.955742073390671,0.96344672020896,0.959942346580004,0.96185901757013,0.956005522338051,0.894142603875412,0.961467451508533,0.975471066214378,0.96572557275974,0.934323367376955,0.955578979284338,0.96541582935995,0.957511343336385,0.96016007706238,0.95346754137832,0.96298029841398,0.947089810928154,0.956241044455436,0.949396415076483,0.956535873684406,0.945748033856677,0.951732303064423,0.919638015434135,0.955571857557742,0.963293387648086,0.951246879137853,0.956732756212707,0.954987021917499,0.950833837478491,0.951977286133532,0.940584985002119,0.957647686289199,0.954206274524817,0.956051181161504,0.95636109114648,0.958763013532594,0.95401079506042,0.958628519205145,0.939821739753882,0.957683009966599,0.963016555651577,0.959551815240719,0.957616785941729,0.962449236105618,0.946259179184156,0.951876735302941,0.957596183139878,0.952584541569808,0.94558327909544,0.957830900281923,0.938494930090315,0.936217069119811,0.960749597730749,0.9375212989948
"GSM4915432",0.952444601738364,0.950194587138146,0.949664256472874,0.952892257745647,0.954456293314478,0.944259805102163,0.948100762602476,0.952916356949459,1,0.94868980793033,0.948771867503093,0.947067988418701,0.953983701168016,0.957305954333033,0.949483898712255,0.932143057575781,0.85082454347842,0.93770031588121,0.938105988350313,0.953155698221328,0.942018576766384,0.943638401200554,0.942573486972878,0.950220231168191,0.944366776617769,0.947210909639444,0.943006338623931,0.947823528521814,0.948640366729891,0.942532778529895,0.941308449561324,0.941111682371793,0.94889897137178,0.949451604969753,0.951308823752416,0.94368771013561,0.864225784142198,0.950987093426249,0.954627191666989,0.955820409842621,0.926836631335895,0.945370061120839,0.948265525553519,0.945661144291815,0.952273576857949,0.947195511774835,0.950466859228864,0.93047071477722,0.951050320004682,0.929951942468135,0.945142627772855,0.942500888324629,0.939833303178608,0.89287513187676,0.941703705506673,0.948297484162455,0.94406630836654,0.938426614619158,0.934790698472524,0.935736803701728,0.936916094891657,0.930058809807833,0.937693517646436,0.937569757482899,0.942050139334958,0.946406214967515,0.948729391548166,0.940880214627113,0.947607293983643,0.918681210598104,0.9460169856141,0.944636131067148,0.945582800801316,0.94157119851892,0.939187683524696,0.931750438061504,0.938499385457308,0.941036949323508,0.943925917572147,0.93647365342974,0.942077939784158,0.92379455032918,0.908976642997572,0.94202662121408,0.919045376915346
"GSM4915433",0.955542336142698,0.953421387842407,0.950755727954233,0.958933504557977,0.960235518225511,0.959108259811657,0.960945803561032,0.962666909292192,0.94868980793033,1,0.953631213726826,0.95491229780941,0.95853181046483,0.960766400162719,0.957237768271778,0.935457361110715,0.865861358639163,0.945635149410527,0.939860857401898,0.958368568124878,0.947282430128864,0.948714075330889,0.942508871260984,0.953780696899456,0.954407963578047,0.959032967116805,0.944098918498385,0.962067264604066,0.960978666562299,0.952769994229377,0.94142889159074,0.949194492387174,0.958871348247616,0.95357860687616,0.954455163405297,0.949973093883112,0.881623488928859,0.958085502941212,0.966343581978246,0.959370151985869,0.929565580723583,0.94897274283202,0.955893616788685,0.95229486617974,0.954774998316209,0.947403389098665,0.955572434868335,0.939341691807298,0.951388132346847,0.939153918557558,0.95100664580098,0.944862653260306,0.947259300000758,0.907062217215689,0.949817404806456,0.956072994792949,0.942745265704019,0.950500014064587,0.948999796059888,0.944153647634289,0.948489950615756,0.93520501941447,0.949321806878921,0.950918148820592,0.949957889512056,0.951698721237486,0.9522677185352,0.949983952490488,0.953893801334998,0.933792985234035,0.951998098664894,0.957011550508743,0.952747721925856,0.951350615115212,0.952348283154173,0.941076156149917,0.949396527718389,0.954359026168315,0.947589692312625,0.941394808551997,0.95292601922247,0.935157646988469,0.927407797659771,0.954478675376202,0.936139738659562
